dia,periodo,total_contratos,renovaram,churners,taxa_renovacao
2026-04-24,PRE,763,373,390,48.89
2026-04-25,PRE,652,291,361,44.63
2026-04-26,PRE,503,227,276,45.13
2026-04-27,PRE,565,285,280,50.44
2026-04-28,PRE,691,402,289,58.18
2026-04-29,PRE,796,398,398,50.0
2026-04-30,PRE,817,424,393,51.9
2026-05-01,PRE,629,263,366,41.81
2026-05-02,PRE,492,266,226,54.07
2026-05-03,PRE,567,334,233,58.91
2026-05-04,PRE,663,279,384,42.08
2026-05-05,PRE,621,318,303,51.21
2026-05-06,PRE,791,420,371,53.1
2026-05-07,PRE,829,392,437,47.29
2026-05-08,PRE,729,344,385,47.19
2026-05-09,PRE,695,328,367,47.19
2026-05-10,PRE,634,376,258,59.31
2026-05-11,PRE,573,223,350,38.92
2026-05-12,PRE,664,366,298,55.12
2026-05-13,PRE,740,382,358,51.62
2026-05-14,PRE,855,388,467,45.38
2026-05-15,POS,729,310,419,42.52
2026-05-16,POS,557,253,304,45.42
2026-05-17,POS,581,327,254,56.28
2026-05-18,POS,671,297,374,44.26
2026-05-19,POS,736,462,274,62.77
2026-05-20,POS,777,318,459,40.93
2026-05-21,POS,678,331,347,48.82
2026-05-22,POS,698,326,372,46.7
2026-05-23,POS,561,257,304,45.81
2026-05-24,POS,580,335,245,57.76
2026-05-25,POS,633,263,370,41.55
2026-05-26,POS,598,348,250,58.19
2026-05-27,POS,748,364,384,48.66
2026-05-28,POS,699,324,375,46.35
2026-05-29,POS,571,266,305,46.58
2026-05-30,POS,517,241,276,46.62
2026-05-31,POS,260,96,164,36.92
2026-06-01,POS,412,233,179,56.55
2026-06-02,POS,542,281,261,51.85
2026-06-03,POS,712,326,386,45.79
2026-06-04,POS,673,279,394,41.46
2026-06-05,POS,711,358,353,50.35
2026-06-06,POS,610,249,361,40.82
2026-06-07,POS,482,165,317,34.23
2026-06-08,POS,432,212,220,49.07
2026-06-09,POS,560,301,259,53.75
2026-06-10,POS,710,303,407,42.68
2026-06-11,POS,608,249,359,40.95
