dia,periodo,total_contratos,renovaram,churners,taxa_renovacao
2026-04-24,PRE,82,17,65,20.73
2026-04-25,PRE,95,21,74,22.11
2026-04-26,PRE,79,13,66,16.46
2026-04-27,PRE,64,15,49,23.44
2026-04-28,PRE,69,14,55,20.29
2026-04-29,PRE,104,20,84,19.23
2026-04-30,PRE,90,10,80,11.11
2026-05-01,PRE,94,11,83,11.7
2026-05-02,PRE,67,8,59,11.94
2026-05-03,PRE,61,8,53,13.11
2026-05-04,PRE,109,19,90,17.43
2026-05-05,PRE,62,9,53,14.52
2026-05-06,PRE,91,17,74,18.68
2026-05-07,PRE,75,12,63,16.0
2026-05-08,PRE,86,17,69,19.77
2026-05-09,PRE,89,16,73,17.98
2026-05-10,PRE,59,11,48,18.64
2026-05-11,PRE,92,17,75,18.48
2026-05-12,PRE,80,8,72,10.0
2026-05-13,PRE,107,9,98,8.41
2026-05-14,PRE,130,16,114,12.31
2026-05-15,POS,104,13,91,12.5
2026-05-16,POS,73,11,62,15.07
2026-05-17,POS,53,13,40,24.53
2026-05-18,POS,105,14,91,13.33
2026-05-19,POS,77,10,67,12.99
2026-05-20,POS,92,14,78,15.22
2026-05-21,POS,81,9,72,11.11
2026-05-22,POS,92,9,83,9.78
2026-05-23,POS,75,7,68,9.33
2026-05-24,POS,45,4,41,8.89
2026-05-25,POS,100,9,91,9.0
2026-05-26,POS,58,3,55,5.17
2026-05-27,POS,82,9,73,10.98
2026-05-28,POS,83,10,73,12.05
2026-05-29,POS,67,8,59,11.94
2026-05-30,POS,67,6,61,8.96
2026-05-31,POS,39,3,36,7.69
2026-06-01,POS,53,6,47,11.32
2026-06-02,POS,56,7,49,12.5
2026-06-03,POS,102,10,92,9.8
2026-06-04,POS,95,7,88,7.37
2026-06-05,POS,87,6,81,6.9
2026-06-06,POS,84,6,78,7.14
2026-06-07,POS,76,9,67,11.84
2026-06-08,POS,43,4,39,9.3
2026-06-09,POS,52,4,48,7.69
2026-06-10,POS,83,8,75,9.64
2026-06-11,POS,87,9,78,10.34
2026-06-12,POS,98,2,96,2.04
2026-06-13,POS,81,3,78,3.7
2026-06-14,POS,75,2,73,2.67
2026-06-15,POS,62,1,61,1.61
