tipo_desfecho,ciclo,faixa_idade,dependentes,consumo,total_contratos
churn_ativo,1o,31-50,1-2_dep,S,1831
churn_ativo,2o+,31-50,1-2_dep,N,1573
churn_ativo,2o+,31-50,3+_dep,N,1524
churn_ativo,2o+,51-70,1-2_dep,N,1495
churn_ativo,1o,31-50,sem_dep,S,1430
churn_ativo,1o,51-70,1-2_dep,S,1321
churn_ativo,1o,31-50,3+_dep,S,1320
churn_ativo,2o+,51-70,3+_dep,N,1224
churn_ativo,1o,31-50,sem_dep,N,1022
churn_ativo,2o+,31-50,sem_dep,N,1022
churn_ativo,2o+,51-70,sem_dep,N,1016
churn_ativo,1o,51-70,sem_dep,S,908
churn_ativo,1o,31-50,1-2_dep,N,875
churn_ativo,1o,00-30,1-2_dep,S,867
churn_ativo,1o,00-30,sem_dep,S,811
churn_ativo,1o,51-70,3+_dep,S,760
churn_ativo,1o,51-70,sem_dep,N,736
churn_ativo,1o,51-70,1-2_dep,N,646
churn_ativo,1o,00-30,sem_dep,N,596
churn_ativo,1o,31-50,3+_dep,N,466
churn_ativo,2o+,00-30,1-2_dep,N,460
churn_ativo,2o+,00-30,sem_dep,N,399
churn_ativo,1o,00-30,1-2_dep,N,383
churn_ativo,2o+,71+,1-2_dep,N,368
churn_ativo,2o+,00-30,3+_dep,N,339
churn_ativo,1o,00-30,3+_dep,S,339
churn_ativo,1o,51-70,3+_dep,N,311
churn_ativo,2o+,71+,sem_dep,N,297
churn_ativo,2o+,71+,3+_dep,N,267
churn_ativo,1o,71+,1-2_dep,S,251
churn_ativo,1o,71+,sem_dep,S,241
churn_ativo,1o,71+,sem_dep,N,164
churn_ativo,1o,00-30,3+_dep,N,153
churn_ativo,1o,71+,3+_dep,S,150
churn_ativo,1o,71+,1-2_dep,N,133
churn_ativo,1o,71+,3+_dep,N,61
churn_silencioso,1o,31-50,1-2_dep,S,8125
churn_silencioso,1o,31-50,3+_dep,S,6946
churn_silencioso,1o,51-70,1-2_dep,S,5894
churn_silencioso,2o+,31-50,3+_dep,N,5097
churn_silencioso,1o,31-50,sem_dep,S,4958
churn_silencioso,2o+,51-70,3+_dep,N,4739
churn_silencioso,1o,51-70,3+_dep,S,4692
churn_silencioso,2o+,51-70,1-2_dep,N,4258
churn_silencioso,2o+,31-50,1-2_dep,N,4071
churn_silencioso,1o,51-70,sem_dep,S,3614
churn_silencioso,1o,00-30,1-2_dep,S,2981
churn_silencioso,2o+,51-70,sem_dep,N,2628
churn_silencioso,1o,31-50,1-2_dep,N,2524
churn_silencioso,2o+,31-50,sem_dep,N,2395
churn_silencioso,1o,31-50,sem_dep,N,2177
churn_silencioso,1o,00-30,sem_dep,S,2152
churn_silencioso,1o,00-30,3+_dep,S,1802
churn_silencioso,1o,31-50,3+_dep,N,1789
churn_silencioso,1o,51-70,1-2_dep,N,1745
churn_silencioso,1o,51-70,sem_dep,N,1386
churn_silencioso,1o,71+,1-2_dep,S,1376
churn_silencioso,2o+,71+,1-2_dep,N,1204
churn_silencioso,1o,51-70,3+_dep,N,1201
churn_silencioso,1o,00-30,sem_dep,N,1136
churn_silencioso,1o,71+,sem_dep,S,1093
churn_silencioso,2o+,71+,3+_dep,N,983
churn_silencioso,2o+,00-30,1-2_dep,N,970
churn_silencioso,1o,00-30,1-2_dep,N,947
churn_silencioso,1o,71+,3+_dep,S,940
churn_silencioso,2o+,00-30,3+_dep,N,902
churn_silencioso,2o+,71+,sem_dep,N,897
churn_silencioso,2o+,00-30,sem_dep,N,731
churn_silencioso,1o,00-30,3+_dep,N,442
churn_silencioso,1o,71+,1-2_dep,N,386
churn_silencioso,1o,71+,sem_dep,N,378
churn_silencioso,1o,71+,3+_dep,N,181
retido,2o+,51-70,3+_dep,N,7842
retido,2o+,31-50,3+_dep,N,7457
retido,1o,31-50,3+_dep,S,6451
retido,1o,31-50,1-2_dep,S,6328
retido,2o+,51-70,1-2_dep,N,6254
retido,1o,51-70,1-2_dep,S,5976
retido,1o,51-70,3+_dep,S,5547
retido,2o+,31-50,1-2_dep,N,5347
retido,2o+,51-70,sem_dep,N,3483
retido,1o,31-50,sem_dep,S,3410
retido,1o,51-70,sem_dep,S,3327
retido,2o+,31-50,sem_dep,N,2751
retido,1o,31-50,1-2_dep,N,2171
retido,1o,51-70,1-2_dep,N,1934
retido,1o,00-30,1-2_dep,S,1865
retido,2o+,71+,1-2_dep,N,1778
retido,1o,31-50,3+_dep,N,1708
retido,1o,31-50,sem_dep,N,1624
retido,2o+,71+,3+_dep,N,1529
retido,1o,00-30,3+_dep,S,1525
retido,1o,71+,1-2_dep,S,1403
retido,1o,51-70,sem_dep,N,1380
retido,2o+,00-30,3+_dep,N,1309
retido,1o,51-70,3+_dep,N,1303
retido,2o+,71+,sem_dep,N,1175
retido,2o+,00-30,1-2_dep,N,1172
retido,1o,00-30,sem_dep,S,1145
retido,1o,71+,3+_dep,S,1073
retido,1o,71+,sem_dep,S,1016
retido,2o+,00-30,sem_dep,N,833
retido,1o,00-30,1-2_dep,N,719
retido,1o,00-30,sem_dep,N,634
retido,1o,71+,1-2_dep,N,446
retido,1o,71+,sem_dep,N,380
retido,1o,00-30,3+_dep,N,358
retido,1o,71+,3+_dep,N,234
