ciclo,perfil_idade,cronico,tem_dependente,duracao,total_contratos,churners,retidos,churn_rate_pct,meses_vida_estimados,media_dependentes
2o+,senior_51+,S,com_dep,12,5358,2559,2799,47.76,25.1,2.75
2o+,adulto_31-50,S,com_dep,12,1359,703,656,51.73,23.2,2.98
2o+,senior_51+,N,com_dep,12,9047,4734,4313,52.33,22.9,2.7
1o,senior_51+,S,com_dep,12,6070,3219,2851,53.03,22.6,2.48
2o+,adulto_31-50,N,com_dep,12,7725,4294,3431,55.59,21.6,2.89
1o,senior_51+,N,com_dep,12,13835,7735,6100,55.91,21.5,2.49
2o+,senior_51+,S,solo,12,1262,704,558,55.78,21.5,0.0
1o,adulto_31-50,S,com_dep,12,2135,1238,897,57.99,20.7,2.67
2o+,jovem_00-30,N,com_dep,12,1447,843,604,58.26,20.6,2.77
2o+,senior_51+,N,solo,12,2104,1246,858,59.22,20.3,0.0
2o+,jovem_00-30,S,com_dep,12,79,47,32,59.49,20.2,3.03
1o,senior_51+,S,solo,12,1793,1084,709,60.46,19.8,0.0
2o+,adulto_31-50,S,solo,12,223,138,85,61.88,19.4,0.0
1o,jovem_00-30,S,com_dep,12,170,107,63,62.94,19.1,2.49
1o,senior_51+,N,solo,12,3927,2479,1448,63.13,19.0,0.0
1o,adulto_31-50,N,com_dep,12,16336,10329,6007,63.23,19.0,2.57
2o+,adulto_31-50,N,solo,12,1405,896,509,63.77,18.8,0.0
2o+,jovem_00-30,N,solo,12,455,293,162,64.4,18.6,0.0
1o,jovem_00-30,N,com_dep,12,4872,3336,1536,68.47,17.5,2.37
1o,adulto_31-50,N,solo,12,4348,3013,1335,69.3,17.3,0.0
1o,adulto_31-50,S,solo,12,498,346,152,69.48,17.3,0.0
2o+,senior_51+,S,com_dep,6,4916,1830,3086,37.23,16.1,2.47
1o,jovem_00-30,N,solo,12,1860,1434,426,77.1,15.6,0.0
2o+,adulto_31-50,S,com_dep,6,1816,746,1070,41.08,14.6,2.61
2o+,senior_51+,N,com_dep,6,10231,4279,5952,41.82,14.3,2.43
2o+,jovem_00-30,S,com_dep,6,121,54,67,44.63,13.4,2.57
2o+,adulto_31-50,N,com_dep,6,12281,5586,6695,45.48,13.2,2.56
2o+,senior_51+,S,solo,6,1726,788,938,45.65,13.1,0.0
2o+,senior_51+,N,solo,6,3673,1729,1944,47.07,12.7,0.0
1o,senior_51+,S,com_dep,6,3867,1855,2012,47.97,12.5,2.15
2o+,jovem_00-30,N,com_dep,6,3136,1548,1588,49.36,12.2,2.42
1o,senior_51+,N,com_dep,6,10936,5501,5435,50.3,11.9,2.13
2o+,adulto_31-50,S,solo,6,483,243,240,50.31,11.9,0.0
2o+,adulto_31-50,N,solo,6,3539,1842,1697,52.05,11.5,0.0
1o,adulto_31-50,S,com_dep,6,1847,974,873,52.73,11.4,2.22
1o,senior_51+,S,solo,6,2150,1137,1013,52.88,11.3,0.0
2o+,jovem_00-30,N,solo,6,1270,697,573,54.88,10.9,0.0
1o,senior_51+,N,solo,6,5614,3118,2496,55.54,10.8,0.0
1o,adulto_31-50,N,com_dep,6,16410,9200,7210,56.06,10.7,2.22
1o,adulto_31-50,S,solo,6,826,482,344,58.35,10.3,0.0
1o,jovem_00-30,S,com_dep,6,178,104,74,58.43,10.3,2.18
1o,jovem_00-30,N,com_dep,6,5918,3683,2235,62.23,9.6,2.0
1o,adulto_31-50,N,solo,6,7373,4695,2678,63.68,9.4,0.0
1o,jovem_00-30,N,solo,6,3571,2504,1067,70.12,8.6,0.0
1o,jovem_00-30,S,solo,6,102,71,31,69.61,8.6,0.0
