contract_id,churn_original,churn_v4,churn_v5,churn_pm,desfecho_final,score_v4,score_v5,score_pm,faixa_5_v4,faixa_5_v5,faixa_5_pm,faixa_7_v4,faixa_7_v5,faixa_7_pm
000711a0-8035-11ef-a2ff-e1e1b736184e-1,0,0,0,0,,785,452,529,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
001bd300-7f41-11ef-aa52-ab67384e7d9a-1,1,0,1,1,gratis_saiu,853,452,529,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
00922a80-7ffc-11ef-bb16-c3bcf0fcd9d1-1,0,0,0,0,,844,658,801,SEGURO,BAIXO,SEGURO,MUITO BAIXO,BAIXO,MUITO BAIXO
00c6cf20-7f38-11ef-b52a-e171609967a1-1,1,0,1,1,gratis_saiu,687,367,412,BAIXO,ALTO,MEDIO,BAIXO,ALTO,ALTO
00cf13e0-7f35-11ef-858d-53fa2af41269-1,1,1,1,1,saiu_de_vez,820,484,585,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
00e40100-7f6d-11ef-843f-7923f2c56ae0-1,1,0,1,1,gratis_saiu,756,431,498,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
02101ec0-7f8a-11ef-b15a-d921108dd1a8-2,0,0,0,0,,815,661,706,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,BAIXO
02f08c60-410e-11ed-927e-c39cd84c1b57-3,1,0,1,1,gratis_saiu,632,418,414,BAIXO,MEDIO,MEDIO,BAIXO,ALTO,ALTO
02f29960-0e3e-11f0-8768-9bf453f9b19b-1,1,0,1,1,gratis_saiu,804,529,553,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
0387f580-0f44-11f0-971f-17f2ad00b118-1,0,0,0,0,,865,642,793,SEGURO,BAIXO,BAIXO,SEGURO,BAIXO,MUITO BAIXO
038f0080-7fe0-11ef-b85d-fb4216a60962-1,0,0,0,0,,799,426,504,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
039bc0e0-0f1e-11f0-9afc-3f110190828f-1,0,0,0,0,,723,437,481,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
