layout,faixa,contratos_v4,churn_rate_v4,contratos_v5,churn_rate_v5,contratos_pm,churn_rate_pm
5_faixas,CRITICO,10,90.0,226,88.1,188,86.2
5_faixas,ALTO,1756,52.0,12352,66.4,6986,63.5
5_faixas,MEDIO,21043,38.7,79953,51.8,64862,48.5
5_faixas,BAIXO,55856,21.9,29471,36.2,43339,32.4
5_faixas,SEGURO,44032,13.5,695,15.4,7322,16.1
7_faixas,CRITICO,6,100.0,37,100.0,14,100.0
7_faixas,MUITO ALTO,23,78.3,1456,77.6,657,79.8
7_faixas,ALTO,3542,48.4,18471,63.1,11109,60.7
7_faixas,MEDIO,15475,39.4,63809,51.9,49578,49.0
7_faixas,BAIXO,16739,27.7,32277,40.0,40644,37.0
7_faixas,MUITO BAIXO,73530,18.3,6565,26.0,18674,23.6
7_faixas,SEGURO,13382,10.1,82,1.2,2021,11.6
