especialidade,uso,total,churners,churn_rate
CARDIOLOGISTA,nao_usou,188879,103859,55.0
CARDIOLOGISTA,usou,17507,9640,55.1
CLINICA_MEDICA,nao_usou,167865,90760,54.1
CLINICA_MEDICA,usou,38521,22739,59.0
CM_TELE,nao_usou,177422,95795,54.0
CM_TELE,usou,28964,17704,61.1
CM_presencial,nao_usou,116228,60926,52.4
CM_presencial,usou,90158,52573,58.3
DERMATOLOGISTA,nao_usou,190319,104339,54.8
DERMATOLOGISTA,usou,16067,9160,57.0
ENDOCRINOLOGISTA,nao_usou,194151,106565,54.9
ENDOCRINOLOGISTA,usou,12235,6934,56.7
EXAMES,nao_usou,133296,71715,53.8
EXAMES,usou,73090,41784,57.2
GASTROENTEROLOGISTA,nao_usou,195392,107371,55.0
GASTROENTEROLOGISTA,usou,10994,6128,55.7
GINECOLOGIA,nao_usou,183599,100246,54.6
GINECOLOGIA,usou,22787,13253,58.2
NEUROLOGIA,nao_usou,196197,107708,54.9
NEUROLOGIA,usou,10189,5791,56.8
OFTALMOLOGISTA,nao_usou,185467,101824,54.9
OFTALMOLOGISTA,usou,20919,11675,55.8
ORTOPEDISTA,nao_usou,186664,102289,54.8
ORTOPEDISTA,usou,19722,11210,56.8
OTORRINOLARINGOLOGISTA,nao_usou,193971,106483,54.9
OTORRINOLARINGOLOGISTA,usou,12415,7016,56.5
PEDIATRA,nao_usou,200605,109965,54.8
PEDIATRA,usou,5781,3534,61.1
PSIQUIATRIA,nao_usou,191135,104295,54.6
PSIQUIATRIA,usou,15251,9204,60.4
UROLOGISTA,nao_usou,195331,107320,54.9
UROLOGISTA,usou,11055,6179,55.9
