coorte,ciclo_contrato,duracao,clientes,contratos,churners,churn_rate,retencao_rate
2024-06-01,1,12,4996,4996,3026,60.6,39.4
2024-06-01,1,6,4412,4412,2437,55.2,44.8
2024-06-01,2,6,1975,1975,938,47.5,52.5
2024-06-01,3,6,1037,1037,497,47.9,52.1
2024-07-01,1,12,5115,5115,3043,59.5,40.5
2024-07-01,1,6,4717,4717,2622,55.6,44.4
2024-07-01,2,12,1,1,1,100.0,0.0
2024-07-01,2,6,2095,2095,1029,49.1,50.9
2024-07-01,3,6,1066,1066,448,42.0,58.0
2024-08-01,1,12,5340,5340,3274,61.3,38.7
2024-08-01,1,6,5387,5387,3312,61.5,38.5
2024-08-01,2,12,3,3,3,100.0,0.0
2024-08-01,2,6,2075,2075,1072,51.7,48.3
2024-08-01,3,6,1003,1003,406,40.5,59.5
2024-09-01,1,12,4859,4859,2924,60.2,39.8
2024-09-01,1,6,5043,5043,2810,55.7,44.3
2024-09-01,2,6,2233,2233,1069,47.9,52.1
2024-09-01,3,6,1156,1156,426,36.9,63.1
2024-10-01,1,12,4684,4684,2951,63.0,37.0
2024-10-01,1,6,4364,4364,2598,59.5,40.5
2024-10-01,2,6,1766,1766,917,51.9,48.1
2024-10-01,3,6,5,5,5,100.0,0.0
2024-11-01,1,12,4332,4332,2756,63.6,36.4
2024-11-01,1,6,4482,4482,2469,55.1,44.9
2024-11-01,2,6,2013,2013,1121,55.7,44.3
2024-11-01,3,6,2,2,2,100.0,0.0
2024-12-01,1,12,3537,3537,2377,67.2,32.8
2024-12-01,1,6,3702,3702,2020,54.6,45.4
2024-12-01,2,6,1682,1682,882,52.4,47.6
2024-12-01,3,6,1,1,1,100.0,0.0
2025-01-01,1,12,6075,6075,3600,59.3,40.7
2025-01-01,1,6,4559,4559,2613,57.3,42.7
2025-01-01,2,6,1946,1946,935,48.0,52.0
2025-02-01,1,12,5631,5631,3347,59.4,40.6
2025-02-01,1,6,4352,4352,2453,56.4,43.6
2025-02-01,2,6,1899,1899,973,51.2,48.8
2025-03-01,1,12,5539,5539,3383,61.1,38.9
2025-03-01,1,6,5375,5375,2939,54.7,45.3
2025-03-01,2,6,2346,2346,1142,48.7,51.3
2025-04-01,1,12,96,96,96,100.0,0.0
2025-04-01,1,6,5230,5230,3041,58.1,41.9
2025-04-01,2,6,5,5,5,100.0,0.0
2025-05-01,1,12,95,95,95,100.0,0.0
2025-05-01,1,6,6026,6026,3691,61.3,38.7
2025-05-01,2,6,3,3,3,100.0,0.0
2025-06-01,1,12,78,78,78,100.0,0.0
2025-06-01,1,6,5159,5159,3129,60.7,39.3
2025-06-01,2,6,6,6,6,100.0,0.0
2025-07-01,1,12,97,97,97,100.0,0.0
2025-07-01,1,6,5979,5979,3308,55.3,44.7
2025-08-01,1,12,200,200,200,100.0,0.0
2025-08-01,1,6,6854,6854,3837,56.0,44.0
2025-09-01,1,12,97,97,97,100.0,0.0
2025-09-01,1,6,6902,6902,3652,52.9,47.1
2025-10-01,1,12,119,119,119,100.0,0.0
2025-10-01,1,6,120,120,120,100.0,0.0
2025-11-01,1,12,122,122,122,100.0,0.0
2025-11-01,1,6,91,91,91,100.0,0.0
2025-12-01,1,12,75,75,75,100.0,0.0
2025-12-01,1,6,61,61,61,100.0,0.0
2026-01-01,1,12,147,147,147,100.0,0.0
2026-01-01,1,6,69,69,69,100.0,0.0
2026-02-01,1,12,96,96,96,100.0,0.0
2026-02-01,1,6,57,57,57,100.0,0.0
2026-03-01,1,12,75,75,75,100.0,0.0
2026-03-01,1,6,49,49,49,100.0,0.0
