contract_id,desfecho,dias_ate_proximo,next_is_gratis
000001d0-8e37-11ee-90ad-e9df2fd29512-1,voltou_pago,192,false
000003d0-9f38-11ee-9318-29f76e5ffe3b-2,migrou_gratis,17,true
000091e0-c3f3-11ed-93f9-95d349b27124-1,migrou_gratis,16,true
0000dc40-5655-11ef-b3bc-73ceff41aa5e-1,voltou_pago,17,false
0000f5c0-a3e3-11ed-bddb-374dae3b0dc7-1,saiu_de_vez,,
00010610-08b3-11ef-b80a-17c49bd16920-1,voltou_pago,3,false
00013790-00d1-11f0-8dd0-d706c3181627-1,saiu_de_vez,,
000166e0-522a-11ee-93a4-7fd9a087080f-2,migrou_gratis,17,true
000182d0-62d1-11ee-b69a-6bc9551d1f7d-1,migrou_gratis,17,true
0001ef70-0fb8-11ee-8a05-7f34a864f3e2-1,migrou_gratis,16,true
0002dc80-24db-11ef-bb14-0f151dfcacab-1,saiu_de_vez,,
00033d00-5cdf-11f0-805d-c9576672f341-1,saiu_de_vez,,
00036e60-24a6-11ee-b11e-d155af78449c-1,migrou_gratis,55,true
0003de40-0bbe-11ef-a4d9-efb8185a8858-1,saiu_de_vez,,
0004ba00-7390-11f0-a876-15351e6f0eba-1,migrou_gratis,17,true
00050660-095a-11ee-8858-93952b1d6ad2-2,voltou_pago,16,false
00052b90-e3fb-11ef-87d5-39fae5c6a55c-1,migrou_gratis,17,true
000563c0-9f1b-11ed-91d8-113838c9980f-2,migrou_gratis,16,true
00057c70-dee5-11ed-a2c1-6bf11b68ea02-1,migrou_gratis,17,true
0005e1f0-bc5d-11ee-bf3c-e3adf4167985-1,migrou_gratis,17,true
0005fe30-d565-11ee-9a1e-e59d88cc6156-1,migrou_gratis,17,true
00062d80-2717-11ee-b792-ffb85e0f0ec8-1,voltou_pago,184,false
00065ed0-6f48-11ee-800e-d50356e59f6a-1,migrou_gratis,17,true
00067690-e40f-11ee-a56b-b32d3cc98fcf-3,saiu_de_vez,,
00069520-a413-11ef-b65c-93d201a3952b-1,saiu_de_vez,,
0006d3a0-9931-11f0-8480-59030cb38447-1,migrou_gratis,17,true
00081130-a412-11ef-8de2-7b3af3991e56-1,voltou_pago,8,false
00087c10-48c4-11ee-bff5-3f20a1655671-4,migrou_gratis,17,true
0008f360-360f-11ee-974d-ed6ec67bb1e5-1,saiu_de_vez,,
