layout,faixa,feature,val_risco,pct_risco,delta_risco,val_protege,pct_protege,delta_protege
5_faixas,CRITICO,ciclo,1o,90.0,27.9,2o+,10.0,-27.9
5_faixas,CRITICO,duracao,12,40.0,-3.3,6,60.0,3.3
5_faixas,CRITICO,cronico,N,100.0,15.2,S,0.0,-15.2
5_faixas,CRITICO,faixa_dep,sem_dep,50.0,8.7,3+_dep,10.0,-17.0
5_faixas,CRITICO,faixa_idade_cat,jovem,30.0,19.7,senior,0.0,-35.9
5_faixas,CRITICO,canal_simples,digital,70.0,31.7,presencial,30.0,-31.7
5_faixas,CRITICO,faixa_nps_cat,sem_nps,80.0,-7.4,promotor,10.0,-0.9
5_faixas,CRITICO,faixa_tempo_cat,sem_atend,40.0,9.7,longo,0.0,-50.3
5_faixas,CRITICO,rotatividade_cat,alta,100.0,93.5,continuidade,0.0,-58.3
5_faixas,ALTO,ciclo,1o,81.9,19.8,2o+,18.1,-19.8
5_faixas,ALTO,duracao,12,98.7,55.4,6,1.3,-55.4
5_faixas,ALTO,cronico,N,99.7,14.9,S,0.3,-14.9
5_faixas,ALTO,faixa_dep,sem_dep,99.6,58.3,3+_dep,0.1,-26.9
5_faixas,ALTO,faixa_idade_cat,jovem,6.4,-3.9,senior,0.0,-35.9
5_faixas,ALTO,canal_simples,digital,61.7,23.4,presencial,38.3,-23.4
5_faixas,ALTO,faixa_nps_cat,sem_nps,98.1,10.7,promotor,0.4,-10.5
5_faixas,ALTO,faixa_tempo_cat,sem_atend,83.0,52.7,longo,10.3,-40.0
5_faixas,ALTO,rotatividade_cat,alta,3.9,-2.6,continuidade,17.2,-41.1
5_faixas,MEDIO,ciclo,1o,70.8,8.7,2o+,29.2,-8.7
5_faixas,MEDIO,duracao,12,36.2,-7.1,6,63.8,7.1
5_faixas,MEDIO,cronico,N,99.1,14.3,S,0.9,-14.3
5_faixas,MEDIO,faixa_dep,sem_dep,99.9,58.6,3+_dep,0.0,-27.0
5_faixas,MEDIO,faixa_idade_cat,jovem,2.8,-7.5,senior,2.4,-33.5
5_faixas,MEDIO,canal_simples,digital,40.7,2.4,presencial,59.3,-2.4
5_faixas,MEDIO,faixa_nps_cat,sem_nps,91.8,4.4,promotor,6.8,-4.1
5_faixas,MEDIO,faixa_tempo_cat,sem_atend,32.9,2.6,longo,45.9,-4.4
5_faixas,MEDIO,rotatividade_cat,alta,6.5,0.0,continuidade,56.0,-2.3
5_faixas,BAIXO,ciclo,1o,65.1,3.0,2o+,34.9,-3.0
5_faixas,BAIXO,duracao,12,42.3,-1.0,6,57.7,1.0
