duracao,ciclo,consumiu,faixa_itens,diversidade_uso,cronico,total_contratos,churners,churn_rate
12,1o,usou,3-5_itens,5,N,29,21,72.4
12,1o,usou,1-2_itens,2,N,1003,712,71.0
12,1o,usou,3-5_itens,4,N,282,197,69.9
12,1o,usou,3-5_itens,4,S,41,28,68.3
12,1o,usou,0_itens,0,N,179,122,68.2
12,1o,usou,3-5_itens,3,N,988,673,68.1
12,1o,usou,1-2_itens,1,N,2140,1449,67.7
12,1o,usou,3-5_itens,3,S,140,94,67.1
12,1o,usou,1-2_itens,3,N,136,91,66.9
6,1o,usou,1-2_itens,2,N,1841,1204,65.4
6,1o,usou,3-5_itens,5,N,46,30,65.2
12,1o,usou,3-5_itens,2,N,2160,1407,65.1
12,1o,nao_usou,0_itens,0,N,11912,7752,65.1
12,1o,usou,1-2_itens,2,S,122,79,64.8
12,1o,usou,1-2_itens,0,S,95,61,64.2
12,1o,usou,1-2_itens,1,S,241,153,63.5
12,1o,usou,3-5_itens,1,N,1476,934,63.3
12,1o,usou,1-2_itens,0,N,1094,683,62.4
6,1o,usou,6+_itens,7,S,61,38,62.3
12,1o,usou,6+_itens,4,N,4922,3039,61.7
6,1o,usou,1-2_itens,1,N,3638,2226,61.2
12,1o,usou,6+_itens,6,N,1447,884,61.1
6,1o,usou,1-2_itens,3,N,255,155,60.8
12,1o,usou,6+_itens,3,N,6121,3689,60.3
12,1o,usou,6+_itens,0,N,20,12,60.0
6,1o,usou,3-5_itens,2,N,3416,2044,59.8
6,1o,usou,3-5_itens,3,N,1579,944,59.8
12,1o,usou,6+_itens,5,N,3157,1887,59.8
6,1o,usou,3-5_itens,4,N,407,242,59.5
12,1o,usou,6+_itens,8,N,118,70,59.3
12,1o,usou,6+_itens,2,N,5403,3183,58.9
12,1o,usou,6+_itens,1,N,1917,1128,58.8
6,1o,usou,6+_itens,7,N,116,68,58.6
12,1o,usou,6+_itens,7,N,479,280,58.5
12,1o,nao_usou,0_itens,0,S,2373,1386,58.4
12,1o,usou,6+_itens,7,S,267,155,58.1
6,1o,usou,6+_itens,6,S,178,103,57.9
6,1o,usou,1-2_itens,0,N,1792,1036,57.8
6,1o,usou,6+_itens,5,N,1656,955,57.7
6,1o,nao_usou,0_itens,0,N,14302,8253,57.7
6,1o,usou,3-5_itens,2,S,501,288,57.5
6,1o,usou,6+_itens,6,N,549,315,57.4
12,1o,usou,6+_itens,1,S,259,147,56.8
12,1o,usou,3-5_itens,0,N,182,103,56.6
6,1o,usou,6+_itens,4,N,3464,1959,56.6
12,1o,usou,6+_itens,2,S,1408,796,56.5
6,1o,usou,3-5_itens,1,N,2375,1332,56.1
6,1o,usou,6+_itens,3,N,5558,3106,55.9
12,1o,usou,3-5_itens,2,S,344,192,55.8
12,2o+,nao_usou,0_itens,0,N,22183,12306,55.5
6,1o,usou,3-5_itens,0,N,231,128,55.4
6,1o,usou,1-2_itens,2,S,163,90,55.2
12,1o,usou,6+_itens,6,S,584,320,54.8
6,1o,usou,6+_itens,2,N,5910,3235,54.7
6,1o,usou,6+_itens,1,N,2656,1451,54.6
12,1o,usou,6+_itens,5,S,1111,606,54.5
6,1o,nao_usou,0_itens,0,S,2248,1224,54.4
12,1o,usou,6+_itens,3,S,1829,992,54.2
12,1o,usou,3-5_itens,1,S,178,96,53.9
12,1o,usou,6+_itens,4,S,1548,831,53.7
12,1o,usou,6+_itens,8,S,99,53,53.5
6,1o,usou,3-5_itens,4,S,44,23,52.3
6,1o,usou,1-2_itens,1,S,442,230,52.0
6,1o,usou,3-5_itens,3,S,214,110,51.4
6,1o,usou,6+_itens,1,S,324,163,50.3
12,2o+,nao_usou,0_itens,0,S,8303,4164,50.2
12,1o,usou,3-5_itens,0,S,24,12,50.0
6,1o,usou,6+_itens,8,N,22,11,50.0
6,1o,usou,6+_itens,3,S,1435,714,49.8
6,1o,usou,1-2_itens,0,S,143,71,49.7
6,1o,usou,6+_itens,4,S,935,464,49.6
6,1o,usou,3-5_itens,1,S,289,143,49.5
6,1o,usou,6+_itens,2,S,1475,728,49.4
6,2o+,nao_usou,0_itens,0,N,34130,15681,45.9
6,1o,usou,6+_itens,5,S,470,214,45.5
6,2o+,nao_usou,0_itens,0,S,9101,3686,40.5
