column_name,data_type,is_nullable
id_atendimento,INT64,YES
atendimento_datahora,DATETIME,YES
atendimento_data,DATE,YES
atendimento_hora,TIME,YES
agenda_datahora,DATETIME,YES
agenda_data,DATE,YES
agenda_hora,TIME,YES
id_agenda,INT64,YES
id_recepcao_item,INT64,YES
id_atendimento_pai,INT64,YES
id_escala,INT64,YES
id_profissional,INT64,YES
id_paciente,INT64,YES
id_produto,INT64,YES
id_especialidade,INT64,YES
id_convenio,INT64,YES
id_contrato,INT64,YES
id_convenio_plano,INT64,YES
id_unidade,INT64,YES
id_sala,INT64,YES
atendimento_finalizacao_regresso_meses,INT64,YES
atendimento_tme_recepcao,INT64,YES
atendimento_tma_recepcao,INT64,YES
atendimento_tme_preconsulta,INT64,YES
atendimento_tma_preconsulta,INT64,YES
atendimento_tme_consulta,INT64,YES
atendimento_tma_consulta,INT64,YES
atendimento_tma_posconsulta,INT64,YES
atendimento_tm_total,INT64,YES
atendimento_stamp_senha,TIMESTAMP,YES
atendimento_stamp_recepcao_ini,TIMESTAMP,YES
atendimento_stamp_recepcao_fim,TIMESTAMP,YES
atendimento_stamp_preconsulta_ini,TIMESTAMP,YES
atendimento_stamp_preconsulta_fim,TIMESTAMP,YES
atendimento_stamp_consulta_ini,TIMESTAMP,YES
atendimento_stamp_consulta_fim,TIMESTAMP,YES
atendimento_stamp_posconsulta_ini,TIMESTAMP,YES
atendimento_stamp_posconsulta_fim,TIMESTAMP,YES
atendimento_stamp_oper_fim,TIMESTAMP,YES
atendimento_atraso_paciente_sn,STRING,YES
atendimento_finalizacao_retorno_sn,STRING,YES
atendimento_finalizacao_tipo_retorno,STRING,YES
atendimento_recoleta_sn,STRING,YES
prescricao_medicamento_sn,STRING,YES
atendimento_parceiro_sn,STRING,YES
encaminhamento_cirurgico_sn,STRING,YES
encaminhamento_medico_sn,STRING,YES
encaminhamento_medico_especialidade,STRING,YES
escalas_telemed_2_0,STRING,YES
qualidade_sms_medico_nota,INT64,YES
qualidade_sms_atendimento_nota,INT64,YES
qualidade_nps_nota,INT64,YES
qualidade_nps_obs,STRING,YES
atendimento_stamp_modified,DATETIME,YES
