payment_status,body_json
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""01 : New account information available"",""networkTxReference"":""MCGFRGENP0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122434"",""tokenization.storedPaymentMethodId"":""L3BJBLQ2BJKPNTP9"",""transactionLinkId"":""JNLY85sJRZKc2Bk0dYGNQg""},""merchantReference"":""yalo"",""pspReference"":""JXP8PGGFWWQ2KTG3"",""refusalReason"":""Refused"",""refusalReasonCode"":""2"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""01 : New account information available"",""networkTxReference"":""MPLGQE1KJ0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""968928"",""tokenization.storedPaymentMethodId"":""D3P9TPJVXMSKVGF6"",""transactionLinkId"":""laSx6VS_Sw2J4_DzaOIKhg""},""merchantReference"":""yalo"",""pspReference"":""XV7LLQRNT53Q9DH6"",""refusalReason"":""Refused"",""refusalReasonCode"":""2"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""01 : New account information available"",""networkTxReference"":""MCGOGWUKL0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122422"",""tokenization.storedPaymentMethodId"":""W5GBFNN4JHFLV3H6"",""transactionLinkId"":""3HiPezMcTcSwSBRJDcN4vA""},""merchantReference"":""yalo"",""pspReference"":""FQ3P6854QHJPGGR9"",""refusalReason"":""Refused"",""refusalReasonCode"":""2"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""30 : Retry after 10 days"",""networkTxReference"":""MCGCRDGNN0623"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122155"",""tokenization.storedPaymentMethodId"":""ZWT7STGTHWNPTVD3"",""transactionLinkId"":""k6sVGt0uRauxqRSo0NLZ1g""},""merchantReference"":""yalo"",""pspReference"":""S7Z4T4QQNZBWB4G6"",""refusalReason"":""Not enough balance"",""refusalReasonCode"":""12"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""28 : Retry after 6 days"",""networkTxReference"":""MCGWPYSNN0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122248"",""tokenization.storedPaymentMethodId"":""XR38J62DXLD275G6"",""transactionLinkId"":""j84QoKzTQH2WQDmCaJrmFg""},""merchantReference"":""yalo"",""pspReference"":""FPM2QHBBL6W8BZG6"",""refusalReason"":""Not enough balance"",""refusalReasonCode"":""12"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""30 : Retry after 10 days"",""networkTxReference"":""MCGOGJ0KL0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""413425"",""tokenization.storedPaymentMethodId"":""PK5JK5W39RCXFX43"",""transactionLinkId"":""Zxnzjk0PRmOlgQMgcGexOg""},""merchantReference"":""yalo"",""pspReference"":""LV493854QHJPGGR9"",""refusalReason"":""Not enough balance"",""refusalReasonCode"":""12"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""01 : New account information available"",""networkTxReference"":""MCGWPM9NN0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""969270"",""tokenization.storedPaymentMethodId"":""CZ377KRQ82FJTTX3"",""transactionLinkId"":""GNHeBKKuQiGbnIMs9GGtOg""},""merchantReference"":""yalo"",""pspReference"":""TV9C8MNC5PR7HGP9"",""refusalReason"":""Refused"",""refusalReasonCode"":""2"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""30 : Retry after 10 days"",""networkTxReference"":""MCGUF0FKK0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""969390"",""tokenization.storedPaymentMethodId"":""C8NDP8M89H9T7XX3"",""transactionLinkId"":""t6whXRnvSJSpvTzG3jYR6Q""},""merchantReference"":""yalo"",""pspReference"":""DMDVCGGFWWQ2KTG3"",""refusalReason"":""Not enough balance"",""refusalReasonCode"":""12"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""01 : New account information available"",""networkTxReference"":""MBKZPT0NP0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122487"",""tokenization.storedPaymentMethodId"":""WWJXLNNDLWG65ZP9"",""transactionLinkId"":""uEnwR428T--ktMwQRzlLzw""},""merchantReference"":""yalo"",""pspReference"":""QNP6HHBBL6W8BZG6"",""refusalReason"":""Refused"",""refusalReasonCode"":""2"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""356174457876966"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""413368"",""tokenization.storedPaymentMethodId"":""JV496CX3GV53HX42""},""merchantReference"":""yalo"",""pspReference"":""CQPFQR3JDC9LZLQ9"",""refusalReason"":""Issuer Suspected Fraud"",""refusalReasonCode"":""31"",""resultCode"":""Refused""}"
