id_transacao,id_transacao_original,id_transacao_reagendado,origem,id_origem,id_unidade,id_transacao_tipo,id_usuario,id_portal_usuario,status,valor,valor_processado,valor_nao_processado,customer_id,request_key,order_key,order_reference,checkout_key,stamp_created,ativo_sn,id_gateway,numero_tantativas,pagamento_tipo,stamp_modified,controle_migracao,pix_qrcode_link_expiracao,pix_qrcode_link,pix_qrcode_conteudo,datastream_metadata,selfchekin,transactionid,poiid,id_tokens_cartoes_paciente
7039317,7033637,0,A,34868460,8040,3,22676,0,A,217,217,0,3607355,M28MJ37HRVH8FTZ3,DIG-34868460,M28MJ37HRVH8FTZ3,DrConsultaCOM339,2026-06-25T09:28:54,S,3,0,,2026-06-25T09:28:55,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""7e01911b-ab7b-49a5-aede-d59da747587e"",
    ""source_timestamp"": ""1782390535000""
  }
}",0,,,
7039235,0,7038268,A,34985396,8012,1,22676,2088808,P,153,0,0,2088808,NH5B334B8KQ42XG6,DIG-34982150,NH5B334B8KQ42XG6,DrConsultaCOM339,2026-06-24T19:24:03,S,3,0,,2026-06-25T09:11:26,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""6e1e2c8d-62bb-46d4-a040-8670f20d18d2"",
    ""source_timestamp"": ""1782389486000""
  }
}",0,,,
7012724,0,6889067,A,34891238,8065,6,22676,2935632,A,99,0,0,2935632,J85K7R92LCK4CHQ9,DIG-34422491,J85K7R92LCK4CHQ9,DrConsultaDigital,2026-05-07T00:00:29,S,3,0,,2026-06-17T11:14:07,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""e0cc2b97-0d27-40d8-8517-9cb8467a00d2"",
    ""source_timestamp"": ""1781705647000""
  }
}",0,,,
7035380,0,6915243,A,34970665,8081,6,22676,4956856,A,99,0,0,4956856,XSZH6SD3C9RCFQG6,DIG-34523856,XSZH6SD3C9RCFQG6,DrConsultaDigital,2026-05-18T08:44:10,S,3,0,,2026-06-23T22:13:58,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""e0565fb2-e4d6-42da-8d4e-0087b297cbe0"",
    ""source_timestamp"": ""1782263638000""
  }
}",0,,,
6977512,0,6960195,A,34761247,8013,6,22676,4727405,T,69,0,0,4727405,P7CDGQPV9GNZLWP9,DIG-34520006,P7CDGQPV9GNZLWP9,DrConsultaDigital,2026-05-18T08:44:10,S,3,0,,2026-06-09T22:20:29,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""0dd8b361-2c0a-4c5d-83b5-fa2af978bde7"",
    ""source_timestamp"": ""1781054429000""
  }
}",0,,,
6984244,0,6965400,A,34785638,8034,6,22676,2784004,A,164,0,0,2784004,S3R66BLMXX252KZ3,DIG-34676987,S3R66BLMXX252KZ3,DrConsultaDigital,2026-05-25T20:45:13,S,3,0,,2026-06-09T11:27:17,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""8b930b1a-08db-47d8-b592-7c4535865677"",
    ""source_timestamp"": ""1781015237000""
  }
}",0,,,
6981466,0,6969853,A,34775634,8034,1,22676,3789075,T,45,0,0,3789075,SKRCR7MRFL5X86H6,DIG-34631738,SKRCR7MRFL5X86H6,DrConsultaCOM339,2026-05-27T12:36:54,S,3,0,,2026-06-09T07:29:46,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""04678ddb-edc4-4dce-a00e-7b275d74db21"",
    ""source_timestamp"": ""1781000986000""
  }
}",0,,,
6979067,0,6946452,A,34766582,8014,1,1001155,2332003,T,173,0,0,2332003,BZ43WPLH3TPTL5H6,DIG-34622587,BZ43WPLH3TPTL5H6,DrConsultaCOM339,2026-05-28T10:56:01,S,3,0,,2026-06-15T13:36:31,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""f60a8c4e-e398-422c-b9b0-3fada88c762a"",
    ""source_timestamp"": ""1781541391000""
  }
}",0,,,
6979155,0,6954768,A,34766950,8065,1,22676,4884955,P,190,0,0,4884955,P2BW3Z7GB9MLQLX3,DIG-34676392,P2BW3Z7GB9MLQLX3,DrConsultaCOM339,2026-05-31T13:50:25,S,3,0,,2026-06-08T11:01:15,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""17a3d787-c086-4498-bc66-71e2b3fe5128"",
    ""source_timestamp"": ""1780927275000""
  }
}",0,,,
6980340,0,6974256,A,34771180,8065,6,22676,4978001,T,166,0,0,4978001,ZGD6KH485QFLC7F6,DIG-34750006,ZGD6KH485QFLC7F6,DrConsultaDigital,2026-06-01T13:27:52,S,3,0,,2026-06-08T14:48:57,0,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""6726382e-9b97-40ce-9d7c-663c0f033e2b"",
    ""source_timestamp"": ""1780940937000""
  }
}",0,,,
