semana,periodo,contratos,contratos_adyen,contratos_mundi,sem_tentativa,taxa_aprov_adyen,taxa_aprov_mundi,churners,taxa_churn
sem_+1,POS,4728,1280,2854,594,0.26598639455782314,0.58619481429572529,2431,51.4
sem_+2,POS,4519,1173,2848,498,0.31098615916955019,0.58883426966292129,2293,50.7
sem_+3,POS,3684,954,2355,375,0.33333333333333331,0.56985138004246283,1915,52.0
sem_+4,POS,4188,1072,2622,494,0.36658795749704842,0.56826849733028217,2203,52.6
sem_+5,POS,3953,1046,2486,421,0.419054441260745,0.55390185036202733,2100,53.1
sem_+6,POS,2371,577,1532,262,0.51227495908346976,0.52219321148825071,1346,56.8
sem_-1,PRE,4890,1440,2953,497,0.30656185919343815,0.58449034879783268,2483,50.8
sem_-2,PRE,4591,1270,2852,469,0.31687080205452389,0.58274894810659184,2320,50.5
sem_-3,PRE,4784,1399,2842,543,0.35298804780876492,0.59359605911330049,2386,49.9
sem_-4,PRE,4391,1227,2675,489,0.37020863658418246,0.58766355140186921,2316,52.7
