semana,periodo,contratos,com_tentativa_adyen,taxa_aprov_adyen_pct,so_falha_adyen,pct_so_falha_adyen,churners,taxa_churn_pct,cancelamentos_ativos,churn_involuntario,taxa_churn_involuntario_pct
sem_+1,POS,4728,1280,26.6,546,42.7,2431,51.4,697,1800,38.1
sem_+2,POS,4519,1173,31.1,496,42.3,2293,50.7,665,1701,37.6
sem_+3,POS,3684,954,33.3,431,45.2,1915,52.0,481,1477,40.1
sem_+4,POS,4188,1072,36.7,451,42.1,2203,52.6,595,1646,39.3
sem_+5,POS,3953,1046,41.9,461,44.1,2100,53.1,483,1634,41.3
sem_+6,POS,2371,577,51.2,264,45.8,1346,56.8,304,1050,44.3
sem_-1,PRE,4890,1440,30.7,588,40.8,2483,50.8,712,1856,38.0
sem_-2,PRE,4591,1270,31.7,509,40.1,2320,50.5,614,1789,39.0
sem_-3,PRE,4784,1399,35.3,536,38.3,2386,49.9,738,1770,37.0
sem_-4,PRE,4391,1227,37.0,467,38.1,2316,52.7,652,1763,40.2
