desfecho,especialidade,produto_grupo,atendimentos,pacientes_distintos
saiu_de_vez,CLINICA MEDICA,CM,487,351
saiu_de_vez,PSIQUIATRIA,CM,287,259
saiu_de_vez,GINECOLOGISTA,CM,210,171
saiu_de_vez,,AC,164,18
saiu_de_vez,OFTALMOLOGISTA,CM,140,121
saiu_de_vez,ENDOCRINOLOGISTA,CM,128,112
saiu_de_vez,ORTOPEDISTA,CM,115,89
saiu_de_vez,CARDIOLOGISTA,CM,99,85
saiu_de_vez,DERMATOLOGISTA,CM,92,84
saiu_de_vez,OTORRINOLARINGOLOGISTA,CM,83,72
saiu_de_vez,UROLOGISTA,CM,79,56
saiu_de_vez,GASTROENTEROLOGISTA,CM,63,53
saiu_de_vez,NEUROLOGIA,CM,52,42
saiu_de_vez,VASCULAR,CM,23,19
saiu_de_vez,REUMATOLOGISTA,CM,23,19
saiu_de_vez,,PD,17,7
saiu_de_vez,OBSTETRÍCIA,CM,17,13
saiu_de_vez,NUTRICIONISTA,CM,16,15
saiu_de_vez,GERIATRIA,CM,12,12
saiu_de_vez,PNEUMOLOGISTA,CM,12,10
saiu_de_vez,ULTRASSONOGRAFIA,USG,12,8
saiu_de_vez,NEFROLOGIA,CM,11,9
saiu_de_vez,COLOPROCTOLOGISTA,CM,11,11
saiu_de_vez,NEUROPSICOLOGIA,MICRO,10,4
saiu_de_vez,RADIOLOGIA,PD,9,3
saiu_de_vez,PSICOLOGIA,MICRO,7,5
saiu_de_vez,PAPANICOLAU,PD,6,6
saiu_de_vez,TOMOGRAFIA COMPUTADORIZADA,PD,5,4
saiu_de_vez,NUTROLOGIA,CM,5,4
voltou_pago,,AC,1643,172
voltou_pago,CLINICA MEDICA,CM,442,285
voltou_pago,PSIQUIATRIA,CM,294,251
voltou_pago,GINECOLOGISTA,CM,180,137
voltou_pago,ULTRASSONOGRAFIA,USG,176,110
voltou_pago,ORTOPEDISTA,CM,151,105
voltou_pago,CARDIOLOGISTA,CM,129,99
voltou_pago,OFTALMOLOGISTA,CM,116,99
voltou_pago,ENDOCRINOLOGISTA,CM,94,78
voltou_pago,,PD,83,69
voltou_pago,DERMATOLOGISTA,CM,73,62
voltou_pago,UROLOGISTA,CM,58,41
voltou_pago,NEUROLOGIA,CM,57,48
voltou_pago,GASTROENTEROLOGISTA,CM,57,48
voltou_pago,OTORRINOLARINGOLOGISTA,CM,48,41
voltou_pago,PSICOLOGIA,MICRO,48,15
voltou_pago,RESSONANCIA MAGNETICA,PD,31,25
voltou_pago,MAMOGRAFIA,PD,30,27
voltou_pago,OBSTETRÍCIA,CM,30,23
voltou_pago,REUMATOLOGISTA,CM,29,19
voltou_pago,GERIATRIA,CM,26,20
voltou_pago,VASCULAR,CM,25,18
voltou_pago,MAPA,PD,23,16
voltou_pago,RADIOLOGIA,PD,23,15
voltou_pago,TOMOGRAFIA COMPUTADORIZADA,PD,22,20
voltou_pago,ECOCARDIOGRAMA,PD,22,22
voltou_pago,ENDOSCOPIA,PD,20,20
voltou_pago,NUTRICIONISTA,CM,18,14
voltou_pago,PNEUMOLOGISTA,CM,16,14
voltou_pago,TESTE ERGOMETRICO,PD,14,14
voltou_pago,ODONTOLOGIA,ODONTO,13,10
voltou_pago,COLPOSCOPIA,PD,12,7
voltou_pago,HOLTER MAPEAMENTO,PD,10,9
voltou_pago,PAPANICOLAU,PD,10,10
voltou_pago,EXAMES OFTALMOLOGICOS,PD,9,4
voltou_pago,OFTALMOLOGISTA,PD,8,8
voltou_pago,DENSITOMETRIA,PD,8,7
voltou_pago,NASOFIBROLARINGOSCOPIA,PD,6,6
