janela,duracao,ciclo,total_contratos,renovaram,nao_renovaram,taxa_renovacao,churn_rate
1_PRE-3 (15-24/abr),12,1o,1662,999,663,60.11,39.89
1_PRE-3 (15-24/abr),12,2o+,1022,505,517,49.41,50.59
1_PRE-3 (15-24/abr),6,1o,2541,1382,1159,54.39,45.61
1_PRE-3 (15-24/abr),6,2o+,1588,662,926,41.69,58.31
2_PRE-2 (25/abr-04/mai),12,1o,1583,917,666,57.93,42.07
2_PRE-2 (25/abr-04/mai),12,2o+,1081,564,517,52.17,47.83
2_PRE-2 (25/abr-04/mai),6,1o,2280,1132,1148,49.65,50.35
2_PRE-2 (25/abr-04/mai),6,2o+,1440,593,847,41.18,58.82
3_PRE-1 (05-14/mai),12,1o,2150,1185,965,55.12,44.88
3_PRE-1 (05-14/mai),12,2o+,1121,583,538,52.01,47.99
3_PRE-1 (05-14/mai),6,1o,2197,1135,1062,51.66,48.34
3_PRE-1 (05-14/mai),6,2o+,1666,693,973,41.6,58.4
4_POS (15-24/mai),12,1o,1987,1237,750,62.25,37.75
4_POS (15-24/mai),12,2o+,1207,616,591,51.04,48.96
4_POS (15-24/mai),6,1o,1976,974,1002,49.29,50.71
4_POS (15-24/mai),6,2o+,1395,589,806,42.22,57.78
