dia,periodo,total_contratos,renovaram,churners,taxa_renovacao
2026-04-24,PRE,208,126,82,60.58
2026-04-25,PRE,198,103,95,52.02
2026-04-26,PRE,156,77,79,49.36
2026-04-27,PRE,160,96,64,60.0
2026-04-28,PRE,203,134,69,66.01
2026-04-29,PRE,241,137,104,56.85
2026-04-30,PRE,233,143,90,61.37
2026-05-01,PRE,189,95,94,50.26
2026-05-02,PRE,145,78,67,53.79
2026-05-03,PRE,180,119,61,66.11
2026-05-04,PRE,209,100,109,47.85
2026-05-05,PRE,149,87,62,58.39
2026-05-06,PRE,205,114,91,55.61
2026-05-07,PRE,193,118,75,61.14
2026-05-08,PRE,190,104,86,54.74
2026-05-09,PRE,179,90,89,50.28
2026-05-10,PRE,189,130,59,68.78
2026-05-11,PRE,164,72,92,43.9
2026-05-12,PRE,212,132,80,62.26
2026-05-13,PRE,241,134,107,55.6
2026-05-14,PRE,265,135,130,50.94
2026-05-15,POS,206,102,104,49.51
2026-05-16,POS,160,87,73,54.38
2026-05-17,POS,169,116,53,68.64
2026-05-18,POS,208,103,105,49.52
2026-05-19,POS,189,112,77,59.26
2026-05-20,POS,180,88,92,48.89
2026-05-21,POS,167,86,81,51.5
2026-05-22,POS,201,109,92,54.23
2026-05-23,POS,143,68,75,47.55
2026-05-24,POS,139,94,45,67.63
2026-05-25,POS,184,84,100,45.65
2026-05-26,POS,178,120,58,67.42
2026-05-27,POS,164,82,82,50.0
2026-05-28,POS,163,80,83,49.08
2026-05-29,POS,120,53,67,44.17
2026-05-30,POS,129,62,67,48.06
2026-05-31,POS,69,30,39,43.48
2026-06-01,POS,115,61,54,53.04
2026-06-02,POS,128,72,56,56.25
2026-06-03,POS,208,106,102,50.96
2026-06-04,POS,182,87,95,47.8
2026-06-05,POS,207,120,87,57.97
2026-06-06,POS,174,87,87,50.0
2026-06-07,POS,110,34,76,30.91
2026-06-08,POS,112,69,43,61.61
2026-06-09,POS,123,71,52,57.72
2026-06-10,POS,164,81,83,49.39
2026-06-11,POS,178,88,90,49.44
2026-06-12,POS,180,82,98,45.56
2026-06-13,POS,142,61,81,42.96
2026-06-14,POS,137,62,75,45.26
2026-06-15,POS,143,81,62,56.64
