mes_vencimento,duracao,ciclo,perfil_idade,total_contratos,churners,retidos,churn_rate,media_dependentes
2025-05-01,12,1o,adulto_31-50,2262,1473,789,65.1,2.14
2025-05-01,12,1o,jovem_00-30,618,448,170,72.5,1.73
2025-05-01,12,1o,senior_51+,2571,1423,1148,55.3,2.06
2025-05-01,12,2o+,adulto_31-50,955,545,410,57.1,2.51
2025-05-01,12,2o+,jovem_00-30,142,74,68,52.1,2.22
2025-05-01,12,2o+,senior_51+,1598,800,798,50.1,2.19
2025-05-01,6,1o,adulto_31-50,2091,1238,853,59.2,1.6
2025-05-01,6,1o,jovem_00-30,695,462,233,66.5,1.28
2025-05-01,6,1o,senior_51+,1887,960,927,50.9,1.37
2025-05-01,6,2o+,adulto_31-50,1588,693,895,43.6,2.05
2025-05-01,6,2o+,jovem_00-30,372,193,179,51.9,1.68
2025-05-01,6,2o+,senior_51+,1852,728,1124,39.3,1.88
2025-06-01,12,1o,adulto_31-50,2045,1294,751,63.3,2.14
2025-06-01,12,1o,jovem_00-30,596,428,168,71.8,1.86
2025-06-01,12,1o,senior_51+,2373,1322,1051,55.7,2.06
2025-06-01,12,2o+,adulto_31-50,773,447,326,57.8,2.43
2025-06-01,12,2o+,jovem_00-30,129,77,52,59.7,2.0
2025-06-01,12,2o+,senior_51+,1512,745,767,49.3,2.15
2025-06-01,6,1o,adulto_31-50,1674,963,711,57.5,1.51
2025-06-01,6,1o,jovem_00-30,566,383,183,67.7,1.3
2025-06-01,6,1o,senior_51+,1438,650,788,45.2,1.42
2025-06-01,6,2o+,adulto_31-50,1367,663,704,48.5,2.04
2025-06-01,6,2o+,jovem_00-30,337,157,180,46.6,1.78
2025-06-01,6,2o+,senior_51+,1663,686,977,41.3,1.82
2025-07-01,12,1o,adulto_31-50,2057,1320,737,64.2,2.16
2025-07-01,12,1o,jovem_00-30,539,365,174,67.7,1.85
2025-07-01,12,1o,senior_51+,2507,1346,1161,53.7,2.0
2025-07-01,12,2o+,adulto_31-50,953,543,410,57.0,2.42
2025-07-01,12,2o+,jovem_00-30,171,97,74,56.7,1.81
2025-07-01,12,2o+,senior_51+,1744,924,820,53.0,2.17
2025-07-01,6,1o,adulto_31-50,2069,1228,841,59.4,1.59
2025-07-01,6,1o,jovem_00-30,771,515,256,66.8,1.25
2025-07-01,6,1o,senior_51+,1725,876,849,50.8,1.48
2025-07-01,6,2o+,adulto_31-50,1654,757,897,45.8,2.02
2025-07-01,6,2o+,jovem_00-30,405,193,212,47.7,1.8
