orderId,datetime,payerId,addressId,planId,paymentId,storeId,signatureType,signature_type_id,giftCodeId,externalUserId,datastream_metadata
1327734,2026-06-25 12:17:40.000000 UTC,819068,1214980,131,938475,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""126a2475-0938-4890-beff-ef7a2c7b7b56"",
    ""source_timestamp"": ""1782390716000""
  }
}"
1327745,2026-06-25 12:25:03.000000 UTC,819620,1214973,131,,26,saude,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""43ecc7af-775c-4773-9202-46d2c669ea6a"",
    ""source_timestamp"": ""1782390319000""
  }
}"
1327714,2026-06-25 12:01:26.000000 UTC,819607,1214946,131,938455,26,saude,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""3af0f50c-d257-415d-8874-391c57a8d3a6"",
    ""source_timestamp"": ""1782389000000""
  }
}"
1327736,2026-06-25 12:19:28.000000 UTC,512396,1214965,133,938463,26,,,,1039205,"{
  ""datastream_metadata"": {
    ""uuid"": ""8bc868b0-db10-4d3f-b870-b79fee613508"",
    ""source_timestamp"": ""1782390046000""
  }
}"
1327602,2026-06-25 09:44:38.000000 UTC,819565,1214838,132,,26,saude,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""c687ec27-7542-4c48-bafe-b4eedf5afc45"",
    ""source_timestamp"": ""1782380694000""
  }
}"
611527,2024-01-13 12:28:19.000000 UTC,442770,560870,9,450751,1,saude,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""9f66fdfe-1c0c-410e-a6d8-496400000110"",
    ""source_timestamp"": ""1774961324000""
  }
}"
401374,2023-06-16 13:12:41.000000 UTC,43467,366613,9,279255,1,saude,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""2e29fd8e-12f4-4739-ac67-144901011101"",
    ""source_timestamp"": ""1774961324000""
  }
}"
541646,2023-09-13 01:58:51.000000 UTC,168205,499224,13,399298,1,saude,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""5dd9718a-fe6c-4cd7-9a3d-17ad10101101"",
    ""source_timestamp"": ""1774961324000""
  }
}"
647818,2024-03-11 17:37:09.000000 UTC,464210,593529,18,477476,1,fidelidade,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""c873b629-a62e-4e01-821b-41ed11001001"",
    ""source_timestamp"": ""1774961324000""
  }
}"
633172,2024-02-18 13:40:26.000000 UTC,455662,580280,115,466616,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""563f2376-fb53-4324-9633-f4ec10010011"",
    ""source_timestamp"": ""1774961324000""
  }
}"
617020,2024-01-22 11:57:09.000000 UTC,165819,565807,115,454840,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""5eab34cd-bad0-42d1-855c-219001111011"",
    ""source_timestamp"": ""1774961324000""
  }
}"
600599,2023-12-26 12:41:14.000000 UTC,156954,550922,115,442572,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""3513b471-7f93-4e8b-b7ae-fa9c01010110"",
    ""source_timestamp"": ""1774961324000""
  }
}"
576614,2023-11-07 16:53:51.000000 UTC,101821,529577,116,424878,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""0fdd8406-513d-4244-85fe-1b8101000101"",
    ""source_timestamp"": ""1774961324000""
  }
}"
536058,2023-09-04 20:13:45.000000 UTC,151693,494288,117,395111,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""4f161ba9-ae83-40ea-b369-40b111011001"",
    ""source_timestamp"": ""1774961324000""
  }
}"
569614,2023-10-25 12:33:31.000000 UTC,417825,523458,123,419746,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""30ae5439-1dfd-4b35-bf0f-401f11101101"",
    ""source_timestamp"": ""1774961324000""
  }
}"
512590,2023-08-02 21:44:19.000000 UTC,383737,473620,123,377707,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""ae763a0c-8dc6-4daf-849c-2a7600101101"",
    ""source_timestamp"": ""1774961324000""
  }
}"
509075,2023-07-28 14:18:33.000000 UTC,95160,470470,123,375045,26,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""9c317ae0-ebd8-4179-8019-e81a01110010"",
    ""source_timestamp"": ""1774961324000""
  }
}"
531807,2023-08-29 17:14:05.000000 UTC,116424,490578,123,391934,26,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""241dbf33-e8b3-4a44-9fb8-1bc200111110"",
    ""source_timestamp"": ""1774961324000""
  }
}"
656210,2024-03-22 14:00:06.000000 UTC,469112,601021,123,483589,26,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""f1f05380-9bbd-4830-a6fb-9ba110010001"",
    ""source_timestamp"": ""1774961324000""
  }
}"
512629,2023-08-02 22:14:47.000000 UTC,383771,473660,123,377734,25,,,,,"{
  ""datastream_metadata"": {
    ""uuid"": ""ae763a0c-8dc6-4daf-849c-2a7601010100"",
    ""source_timestamp"": ""1774961324000""
  }
}"
