motivo,total,pct_do_total
pct no ra,128,0.5
não deseja mais,85,0.3
Desativar,78,0.3
Não renovar,54,0.2
no prazo,41,0.2
paciente no ra,41,0.2
paciente no RA,39,0.1
Yalo@2025,37,0.1
aaaaaaaaaaa,31,0.1
erro no gestor,30,0.1
aaaaaaaaa,18,0.1
aaaaaaaaaaaa,18,0.1
aaaaaaaaaa,17,0.1
PCT NO RA,15,0.1
Não deseja a renovação,13,0.0
Falecimento,12,0.0
pct no procon,11,0.0
duplicidade,11,0.0
Não deseja mais,11,0.0
duplicado,10,0.0
DUPLICADO,10,0.0
falecimento,10,0.0
erro adyen,10,0.0
dentro do prazo,10,0.0
PACIENTE NO RA,10,0.0
pct no RA,9,0.0
aaaaaaaaaaaaa,8,0.0
paciente no prazo,8,0.0
teste,8,0.0
nova assinatura,8,0.0
