mes,transacoes_autorizadas,clientes_cobrando,receita_processada_brl,ticket_medio
2025-07,49989,41511,5703562.2,114.1
2025-08,52206,43227,5758988,110.31
2025-09,50220,42138,5509373,109.7
2025-10,51957,43591,5617535,108.12
2025-11,51671,43404,5619073,108.75
2025-12,41116,35343,4484409,109.07
2026-01,47934,40752,5117305,106.76
2026-02,47383,40237,5070806,107.02
2026-03,59309,49147,6767878,114.11
2026-04,43766,37324,5091719,116.34
2026-05,47020,39999,5428339,115.45
2026-06,53047,44646,6027869,113.63
2026-07,640,595,75746,118.35
