duracao,contrato,dependentes,faixa_idade,cronico,canal,classe,total_contratos,churners,churn_rate
12,2o+,sem_dep,00-30,N,digital,AB,64,52,81.3
12,1o,sem_dep,00-30,N,presencial_cfp,AB,210,170,81.0
12,1o,sem_dep,00-30,N,digital,CDE,847,676,79.8
12,1o,sem_dep,00-30,N,presencial_cfp,CDE,313,234,74.8
12,1o,1-2_dep,00-30,N,presencial_cfp,CDE,636,472,74.2
12,1o,sem_dep,00-30,N,digital,AB,655,483,73.7
12,1o,sem_dep,31-50,S,digital,CDE,145,106,73.1
6,1o,sem_dep,00-30,N,digital,CDE,1556,1132,72.8
12,1o,1-2_dep,00-30,N,digital,CDE,1148,834,72.6
12,1o,sem_dep,31-50,N,digital,CDE,1435,1036,72.2
12,1o,sem_dep,31-50,N,presencial_cfp,CDE,897,633,70.6
12,2o+,sem_dep,00-30,N,digital,CDE,51,36,70.6
12,2o+,sem_dep,00-30,N,presencial_cfp,AB,156,109,69.9
6,1o,sem_dep,00-30,N,presencial_cfp,AB,437,305,69.8
12,1o,sem_dep,31-50,N,presencial_cfp,AB,835,578,69.2
12,1o,1-2_dep,00-30,N,presencial_cfp,AB,404,279,69.1
6,1o,sem_dep,00-30,N,presencial_cfp,CDE,714,493,69.0
12,1o,sem_dep,71+,N,digital,CDE,160,110,68.8
6,1o,sem_dep,00-30,N,digital,AB,1108,759,68.5
12,1o,sem_dep,31-50,S,presencial_cfp,AB,111,76,68.5
12,1o,1-2_dep,00-30,N,digital,AB,749,512,68.4
12,1o,1-2_dep,31-50,N,digital,CDE,2359,1600,67.8
12,1o,sem_dep,71+,N,presencial_cfp,AB,329,223,67.8
12,1o,sem_dep,31-50,S,presencial_cfp,CDE,111,75,67.6
12,1o,3+_dep,00-30,N,presencial_cfp,AB,334,224,67.1
12,1o,sem_dep,31-50,N,digital,AB,1557,1044,67.1
12,1o,1-2_dep,31-50,N,presencial_cfp,CDE,2507,1678,66.9
12,1o,3+_dep,00-30,N,digital,CDE,894,597,66.8
12,1o,sem_dep,31-50,S,digital,AB,174,116,66.7
6,1o,sem_dep,31-50,N,digital,CDE,1999,1332,66.6
12,2o+,sem_dep,31-50,N,digital,CDE,184,122,66.3
6,1o,1-2_dep,00-30,N,presencial_cfp,CDE,1079,713,66.1
6,1o,1-2_dep,00-30,N,digital,CDE,1686,1115,66.1
12,1o,sem_dep,51-70,N,digital,CDE,729,481,66.0
12,2o+,sem_dep,51-70,N,digital,AB,150,99,66.0
12,2o+,1-2_dep,00-30,N,digital,CDE,79,52,65.8
12,1o,1-2_dep,31-50,N,digital,AB,2010,1319,65.6
12,2o+,sem_dep,31-50,N,digital,AB,209,137,65.6
12,2o+,1-2_dep,00-30,N,presencial_cfp,AB,197,129,65.5
6,1o,sem_dep,31-50,N,digital,AB,2136,1387,64.9
6,1o,sem_dep,31-50,S,digital,CDE,191,124,64.9
12,1o,1-2_dep,31-50,N,presencial_cfp,AB,1714,1111,64.8
12,1o,sem_dep,51-70,N,presencial_cfp,AB,927,600,64.7
12,2o+,sem_dep,31-50,N,presencial_cfp,CDE,611,393,64.3
6,1o,1-2_dep,00-30,N,presencial_cfp,AB,594,382,64.3
12,2o+,sem_dep,51-70,S,digital,CDE,56,36,64.3
12,1o,3+_dep,00-30,N,presencial_cfp,CDE,631,402,63.7
12,1o,3+_dep,00-30,N,digital,AB,538,342,63.6
12,1o,1-2_dep,31-50,S,digital,AB,268,170,63.4
12,1o,sem_dep,51-70,S,digital,CDE,223,141,63.2
12,2o+,sem_dep,31-50,S,presencial_cfp,AB,97,61,62.9
6,1o,sem_dep,31-50,N,presencial_cfp,CDE,2062,1298,62.9
12,1o,1-2_dep,31-50,S,digital,CDE,237,148,62.4
12,1o,sem_dep,51-70,N,presencial_cfp,CDE,965,602,62.4
12,2o+,sem_dep,51-70,N,digital,CDE,125,78,62.4
12,1o,sem_dep,71+,N,digital,AB,162,101,62.3
6,1o,1-2_dep,00-30,N,digital,AB,1056,656,62.1
12,1o,sem_dep,51-70,S,presencial_cfp,CDE,404,251,62.1
12,2o+,1-2_dep,31-50,S,presencial_cfp,CDE,217,134,61.8
12,1o,sem_dep,71+,S,presencial_cfp,CDE,138,85,61.6
12,2o+,sem_dep,31-50,N,presencial_cfp,AB,529,326,61.6
12,1o,3+_dep,31-50,N,presencial_cfp,AB,1957,1203,61.5
12,2o+,sem_dep,71+,S,presencial_cfp,CDE,153,94,61.4
6,1o,sem_dep,31-50,N,presencial_cfp,AB,1728,1060,61.3
12,2o+,sem_dep,51-70,N,presencial_cfp,CDE,702,428,61.0
12,1o,sem_dep,71+,N,presencial_cfp,CDE,293,178,60.8
12,1o,3+_dep,31-50,N,presencial_cfp,CDE,3226,1959,60.7
12,1o,1-2_dep,51-70,S,digital,CDE,353,214,60.6
12,1o,3+_dep,31-50,N,digital,AB,1827,1105,60.5
12,1o,sem_dep,51-70,S,digital,AB,301,182,60.5
12,2o+,1-2_dep,00-30,N,presencial_cfp,CDE,281,169,60.1
12,1o,3+_dep,31-50,N,digital,CDE,2480,1489,60.0
12,1o,1-2_dep,51-70,N,digital,CDE,1043,626,60.0
12,2o+,sem_dep,31-50,S,presencial_cfp,CDE,90,54,60.0
12,1o,sem_dep,51-70,S,presencial_cfp,AB,466,279,59.9
12,1o,3+_dep,31-50,S,presencial_cfp,AB,314,188,59.9
12,1o,1-2_dep,51-70,N,presencial_cfp,CDE,2291,1369,59.8
12,1o,sem_dep,71+,S,presencial_cfp,AB,223,133,59.6
12,1o,1-2_dep,51-70,N,digital,AB,1014,603,59.5
12,1o,sem_dep,51-70,N,digital,AB,697,415,59.5
12,1o,sem_dep,71+,S,digital,CDE,81,48,59.3
12,2o+,1-2_dep,71+,N,presencial_cfp,AB,458,270,59.0
6,2o+,sem_dep,31-50,S,digital,AB,117,69,59.0
12,1o,1-2_dep,31-50,S,presencial_cfp,AB,231,136,58.9
6,1o,sem_dep,31-50,S,presencial_cfp,CDE,231,136,58.9
6,1o,1-2_dep,31-50,N,presencial_cfp,CDE,3643,2142,58.8
6,2o+,sem_dep,00-30,N,digital,CDE,364,214,58.8
6,1o,1-2_dep,31-50,N,digital,CDE,2716,1591,58.6
12,2o+,1-2_dep,31-50,N,digital,AB,296,173,58.4
6,1o,1-2_dep,31-50,N,presencial_cfp,AB,2262,1320,58.4
12,2o+,1-2_dep,31-50,N,presencial_cfp,AB,1026,598,58.3
12,1o,1-2_dep,51-70,N,presencial_cfp,AB,1939,1128,58.2
12,2o+,3+_dep,31-50,S,digital,CDE,93,54,58.1
12,1o,1-2_dep,71+,N,presencial_cfp,AB,559,325,58.1
12,1o,1-2_dep,71+,S,presencial_cfp,CDE,257,149,58.0
12,2o+,sem_dep,51-70,N,presencial_cfp,AB,659,381,57.8
12,1o,1-2_dep,71+,N,presencial_cfp,CDE,491,284,57.8
6,2o+,sem_dep,00-30,N,digital,AB,339,196,57.8
12,2o+,1-2_dep,51-70,N,presencial_cfp,CDE,1581,910,57.6
12,1o,1-2_dep,71+,S,digital,AB,92,53,57.6
12,2o+,1-2_dep,31-50,N,digital,CDE,322,185,57.5
12,2o+,1-2_dep,31-50,N,presencial_cfp,CDE,1360,782,57.5
12,2o+,3+_dep,00-30,N,digital,CDE,148,85,57.4
6,1o,1-2_dep,31-50,N,digital,AB,2172,1244,57.3
6,1o,1-2_dep,31-50,S,presencial_cfp,CDE,402,230,57.2
12,1o,1-2_dep,71+,N,digital,CDE,179,102,57.0
6,1o,sem_dep,51-70,N,presencial_cfp,AB,1566,891,56.9
6,1o,3+_dep,00-30,N,presencial_cfp,CDE,454,257,56.6
6,1o,sem_dep,31-50,S,presencial_cfp,AB,205,116,56.6
