duracao,contrato,dependentes,faixa_idade,cronico,total_contratos,churners,churn_rate
12,1o,sem_dep,00-30,N,2025,1563,77.2
12,1o,1-2_dep,00-30,N,2937,2097,71.4
6,1o,sem_dep,00-30,N,3815,2689,70.5
12,1o,sem_dep,31-50,N,4724,3291,69.7
12,1o,sem_dep,31-50,S,541,373,68.9
6,1o,sem_dep,00-30,S,106,72,67.9
12,1o,1-2_dep,31-50,N,8590,5708,66.4
12,1o,3+_dep,00-30,N,2397,1565,65.3
6,1o,1-2_dep,00-30,N,4415,2866,64.9
12,1o,sem_dep,71+,N,944,612,64.8
12,2o+,sem_dep,00-30,N,496,318,64.1
6,1o,sem_dep,31-50,N,7925,5077,64.1
12,2o+,sem_dep,31-50,N,1533,978,63.8
12,1o,sem_dep,51-70,N,3318,2098,63.2
12,2o+,sem_dep,31-50,S,238,149,62.6
12,2o+,1-2_dep,00-30,N,628,389,61.9
12,1o,sem_dep,51-70,S,1394,853,61.2
12,1o,3+_dep,31-50,N,9490,5756,60.7
12,2o+,sem_dep,51-70,N,1636,986,60.3
12,1o,1-2_dep,31-50,S,1022,607,59.4
12,1o,1-2_dep,51-70,N,6287,3726,59.3
6,1o,1-2_dep,00-30,S,120,71,59.2
12,1o,sem_dep,71+,S,548,324,59.1
6,1o,1-2_dep,31-50,N,10793,6297,58.3
6,1o,sem_dep,31-50,S,868,504,58.1
12,2o+,1-2_dep,31-50,N,3004,1738,57.9
12,2o+,sem_dep,71+,N,629,361,57.4
12,1o,1-2_dep,71+,N,1447,831,57.4
12,1o,3+_dep,31-50,S,1336,754,56.4
12,2o+,1-2_dep,31-50,S,476,268,56.3
6,1o,sem_dep,51-70,N,4807,2706,56.3
12,1o,1-2_dep,71+,S,831,466,56.1
12,2o+,3+_dep,00-30,N,914,512,56.0
12,2o+,sem_dep,71+,S,408,228,55.9
6,1o,3+_dep,00-30,N,1886,1054,55.9
12,2o+,1-2_dep,71+,N,968,539,55.7
6,2o+,sem_dep,00-30,N,1391,769,55.3
12,2o+,1-2_dep,51-70,N,3209,1774,55.3
6,1o,1-2_dep,31-50,S,1222,670,54.8
12,1o,1-2_dep,51-70,S,2597,1415,54.5
12,2o+,sem_dep,51-70,S,949,516,54.4
12,1o,3+_dep,71+,N,1117,607,54.3
6,1o,sem_dep,51-70,S,1704,924,54.2
12,2o+,3+_dep,31-50,N,5288,2856,54.0
6,1o,sem_dep,71+,N,1174,629,53.6
6,2o+,1-2_dep,00-30,N,1879,995,53.0
12,1o,3+_dep,51-70,N,6390,3373,52.8
6,1o,3+_dep,31-50,N,6820,3595,52.7
6,1o,1-2_dep,51-70,N,6491,3415,52.6
6,2o+,sem_dep,31-50,N,3848,2015,52.4
12,1o,3+_dep,51-70,S,2527,1306,51.7
12,2o+,3+_dep,71+,N,906,460,50.8
6,2o+,sem_dep,31-50,S,534,271,50.7
6,1o,sem_dep,71+,S,595,301,50.6
12,2o+,1-2_dep,51-70,S,1764,892,50.6
12,2o+,3+_dep,51-70,N,4622,2307,49.9
6,1o,1-2_dep,71+,S,564,281,49.8
6,1o,1-2_dep,51-70,S,2105,1042,49.5
6,1o,3+_dep,31-50,S,765,378,49.4
12,2o+,3+_dep,31-50,S,987,488,49.4
6,1o,1-2_dep,71+,N,1152,568,49.3
12,1o,3+_dep,71+,S,698,344,49.3
6,2o+,1-2_dep,31-50,N,6562,3198,48.7
12,2o+,1-2_dep,71+,S,636,308,48.4
6,1o,3+_dep,71+,S,267,129,48.3
12,2o+,3+_dep,71+,S,756,364,48.1
6,2o+,sem_dep,51-70,N,3153,1509,47.9
6,1o,3+_dep,51-70,N,3608,1729,47.9
6,2o+,1-2_dep,31-50,S,941,439,46.7
12,2o+,3+_dep,51-70,S,2590,1201,46.4
6,2o+,sem_dep,71+,N,832,385,46.3
6,2o+,sem_dep,51-70,S,1386,633,45.7
6,2o+,1-2_dep,51-70,N,4874,2219,45.5
6,1o,3+_dep,71+,N,554,251,45.3
6,1o,3+_dep,51-70,S,1245,551,44.3
6,2o+,3+_dep,00-30,N,1508,665,44.1
6,2o+,sem_dep,71+,S,500,220,44.0
6,2o+,1-2_dep,71+,N,1098,473,43.1
6,2o+,3+_dep,31-50,N,6789,2910,42.9
6,2o+,3+_dep,71+,N,641,263,41.0
6,2o+,1-2_dep,51-70,S,2159,868,40.2
6,2o+,1-2_dep,71+,S,648,252,38.9
6,2o+,3+_dep,51-70,N,4506,1724,38.3
6,2o+,3+_dep,31-50,S,1005,365,36.3
6,2o+,3+_dep,51-70,S,2087,731,35.0
6,2o+,3+_dep,71+,S,476,163,34.2
