categoria,perfil,duracao,contrato,dependentes,faixa_idade,cronico,total_contratos,churners,churn_rate,media_consultas,media_exames
ALTO_RISCO,12m|1o|sem_dep|<=30|cron=N,12,1o,sem_dep,<=30,N,2025,1563,77.2,2.6,3.7
ALTO_RISCO,12m|1o|1-2dep|<=30|cron=N,12,1o,1-2dep,<=30,N,2937,2097,71.4,4.8,7.0
ALTO_RISCO,6m|1o|sem_dep|<=30|cron=N,6,1o,sem_dep,<=30,N,3815,2689,70.5,1.9,3.3
ALTO_RISCO,12m|1o|sem_dep|31-50|cron=N,12,1o,sem_dep,31-50,N,4724,3291,69.7,2.6,5.0
ALTO_RISCO,12m|1o|sem_dep|31-50|cron=S,12,1o,sem_dep,31-50,S,541,373,68.9,3.9,8.9
ALTO_RISCO,12m|1o|1-2dep|31-50|cron=N,12,1o,1-2dep,31-50,N,8590,5708,66.4,4.4,8.2
ALTO_RISCO,12m|1o|3+dep|<=30|cron=N,12,1o,3+dep,<=30,N,2397,1565,65.3,7.8,11.8
ALTO_RISCO,6m|1o|1-2dep|<=30|cron=N,6,1o,1-2dep,<=30,N,4415,2866,64.9,3.2,5.3
ALTO_RISCO,12m|1o|sem_dep|71+|cron=N,12,1o,sem_dep,71+,N,944,612,64.8,2.3,5.2
ALTO_RISCO,12m|2o+|sem_dep|<=30|cron=N,12,2o+,sem_dep,<=30,N,496,318,64.1,0.0,0.0
ALTO_RISCO,6m|1o|sem_dep|31-50|cron=N,6,1o,sem_dep,31-50,N,7925,5077,64.1,1.9,4.4
ALTO_RISCO,12m|2o+|sem_dep|31-50|cron=N,12,2o+,sem_dep,31-50,N,1533,978,63.8,0.0,0.0
ALTO_RISCO,12m|1o|sem_dep|51-70|cron=N,12,1o,sem_dep,51-70,N,3318,2098,63.2,2.3,4.7
ALTO_RISCO,12m|2o+|sem_dep|31-50|cron=S,12,2o+,sem_dep,31-50,S,238,149,62.6,0.0,0.0
ALTO_RISCO,12m|2o+|1-2dep|<=30|cron=N,12,2o+,1-2dep,<=30,N,628,389,61.9,0.0,0.0
ALTO_RISCO,12m|1o|sem_dep|51-70|cron=S,12,1o,sem_dep,51-70,S,1394,853,61.2,4.0,9.4
ALTO_RISCO,12m|1o|3+dep|31-50|cron=N,12,1o,3+dep,31-50,N,9490,5756,60.7,6.4,11.5
ALTO_RISCO,12m|2o+|sem_dep|51-70|cron=N,12,2o+,sem_dep,51-70,N,1636,986,60.3,0.0,0.0
ALTO_RISCO,12m|1o|1-2dep|31-50|cron=S,12,1o,1-2dep,31-50,S,1022,607,59.4,5.9,12.6
ALTO_RISCO,12m|1o|1-2dep|51-70|cron=N,12,1o,1-2dep,51-70,N,6287,3726,59.3,4.0,7.7
ALTO_RISCO,12m|1o|sem_dep|71+|cron=S,12,1o,sem_dep,71+,S,548,324,59.1,3.9,8.9
ALTO_RISCO,6m|1o|1-2dep|31-50|cron=N,6,1o,1-2dep,31-50,N,10793,6297,58.3,2.8,5.9
ALTO_RISCO,6m|1o|sem_dep|31-50|cron=S,6,1o,sem_dep,31-50,S,868,504,58.1,2.6,6.4
ALTO_RISCO,12m|2o+|1-2dep|31-50|cron=N,12,2o+,1-2dep,31-50,N,3004,1738,57.9,0.0,0.0
ALTO_RISCO,12m|2o+|sem_dep|71+|cron=N,12,2o+,sem_dep,71+,N,629,361,57.4,0.0,0.0
ALTO_RISCO,12m|1o|1-2dep|71+|cron=N,12,1o,1-2dep,71+,N,1447,831,57.4,4.1,8.0
ALTO_RISCO,12m|1o|3+dep|31-50|cron=S,12,1o,3+dep,31-50,S,1336,754,56.4,8.9,17.6
ALTO_RISCO,12m|2o+|1-2dep|31-50|cron=S,12,2o+,1-2dep,31-50,S,476,268,56.3,0.0,0.0
ALTO_RISCO,6m|1o|sem_dep|51-70|cron=N,6,1o,sem_dep,51-70,N,4807,2706,56.3,1.7,4.0
ALTO_RISCO,12m|1o|1-2dep|71+|cron=S,12,1o,1-2dep,71+,S,831,466,56.1,6.3,13.1
BAIXO_RISCO,6m|2o+|3+dep|71+|cron=S,6,2o+,3+dep,71+,S,476,163,34.2,0.0,0.0
BAIXO_RISCO,6m|2o+|3+dep|51-70|cron=S,6,2o+,3+dep,51-70,S,2087,731,35.0,0.0,0.0
BAIXO_RISCO,6m|2o+|3+dep|31-50|cron=S,6,2o+,3+dep,31-50,S,1005,365,36.3,0.0,0.0
BAIXO_RISCO,6m|2o+|3+dep|51-70|cron=N,6,2o+,3+dep,51-70,N,4506,1724,38.3,0.0,0.0
BAIXO_RISCO,6m|2o+|1-2dep|71+|cron=S,6,2o+,1-2dep,71+,S,648,252,38.9,0.0,0.0
BAIXO_RISCO,6m|2o+|1-2dep|51-70|cron=S,6,2o+,1-2dep,51-70,S,2159,868,40.2,0.0,0.0
BAIXO_RISCO,6m|2o+|3+dep|71+|cron=N,6,2o+,3+dep,71+,N,641,263,41.0,0.0,0.0
BAIXO_RISCO,6m|2o+|3+dep|31-50|cron=N,6,2o+,3+dep,31-50,N,6789,2910,42.9,0.0,0.0
BAIXO_RISCO,6m|2o+|1-2dep|71+|cron=N,6,2o+,1-2dep,71+,N,1098,473,43.1,0.0,0.0
BAIXO_RISCO,6m|2o+|sem_dep|71+|cron=S,6,2o+,sem_dep,71+,S,500,220,44.0,0.0,0.0
BAIXO_RISCO,6m|2o+|3+dep|<=30|cron=N,6,2o+,3+dep,<=30,N,1508,665,44.1,0.0,0.0
BAIXO_RISCO,6m|1o|3+dep|51-70|cron=S,6,1o,3+dep,51-70,S,1245,551,44.3,5.4,11.8
BAIXO_RISCO,6m|1o|3+dep|71+|cron=N,6,1o,3+dep,71+,N,554,251,45.3,3.7,7.2
BAIXO_RISCO,6m|2o+|1-2dep|51-70|cron=N,6,2o+,1-2dep,51-70,N,4874,2219,45.5,0.0,0.0
BAIXO_RISCO,6m|2o+|sem_dep|51-70|cron=S,6,2o+,sem_dep,51-70,S,1386,633,45.7,0.0,0.0
BAIXO_RISCO,6m|2o+|sem_dep|71+|cron=N,6,2o+,sem_dep,71+,N,832,385,46.3,0.0,0.0
BAIXO_RISCO,12m|2o+|3+dep|51-70|cron=S,12,2o+,3+dep,51-70,S,2590,1201,46.4,0.0,0.0
BAIXO_RISCO,6m|2o+|1-2dep|31-50|cron=S,6,2o+,1-2dep,31-50,S,941,439,46.7,0.0,0.0
BAIXO_RISCO,6m|2o+|sem_dep|51-70|cron=N,6,2o+,sem_dep,51-70,N,3153,1509,47.9,0.0,0.0
BAIXO_RISCO,6m|1o|3+dep|51-70|cron=N,6,1o,3+dep,51-70,N,3608,1729,47.9,3.8,7.0
BAIXO_RISCO,12m|2o+|3+dep|71+|cron=S,12,2o+,3+dep,71+,S,756,364,48.1,0.0,0.0
BAIXO_RISCO,6m|1o|3+dep|71+|cron=S,6,1o,3+dep,71+,S,267,129,48.3,5.4,10.6
BAIXO_RISCO,12m|2o+|1-2dep|71+|cron=S,12,2o+,1-2dep,71+,S,636,308,48.4,0.0,0.0
BAIXO_RISCO,6m|2o+|1-2dep|31-50|cron=N,6,2o+,1-2dep,31-50,N,6562,3198,48.7,0.0,0.0
BAIXO_RISCO,6m|1o|1-2dep|71+|cron=N,6,1o,1-2dep,71+,N,1152,568,49.3,2.6,5.2
BAIXO_RISCO,12m|1o|3+dep|71+|cron=S,12,1o,3+dep,71+,S,698,344,49.3,8.6,17.1
BAIXO_RISCO,12m|2o+|3+dep|31-50|cron=S,12,2o+,3+dep,31-50,S,987,488,49.4,0.0,0.0
BAIXO_RISCO,6m|1o|3+dep|31-50|cron=S,6,1o,3+dep,31-50,S,765,378,49.4,5.4,10.3
BAIXO_RISCO,6m|1o|1-2dep|51-70|cron=S,6,1o,1-2dep,51-70,S,2105,1042,49.5,3.9,8.6
BAIXO_RISCO,6m|1o|1-2dep|71+|cron=S,6,1o,1-2dep,71+,S,564,281,49.8,3.6,7.5
