duracao,contrato,dependentes,faixa_idade,cronico,total_contratos,churners,churn_rate
12,1o,sem_dep,<=30,N,1497,1035,69.1
12,1o,1-2dep,<=30,N,2450,1612,65.8
12,1o,sem_dep,31-50,S,464,297,64.0
12,1o,sem_dep,31-50,N,3802,2376,62.5
6,1o,sem_dep,<=30,N,2989,1864,62.4
12,1o,1-2dep,31-50,N,7449,4577,61.4
12,1o,3+dep,<=30,N,2131,1300,61.0
12,1o,sem_dep,71+,N,794,463,58.3
6,1o,1-2dep,<=30,N,3672,2130,58.0
6,1o,sem_dep,31-50,N,6571,3734,56.8
12,2o+,sem_dep,31-50,N,1270,717,56.5
12,1o,1-2dep,31-50,S,948,533,56.2
12,1o,3+dep,31-50,N,8510,4782,56.2
12,1o,sem_dep,51-70,N,2770,1553,56.1
12,2o+,sem_dep,31-50,S,202,113,55.9
12,1o,sem_dep,51-70,S,1217,678,55.7
12,2o+,sem_dep,<=30,N,396,219,55.3
12,2o+,1-2dep,<=30,N,515,282,54.8
12,1o,sem_dep,71+,S,486,262,53.9
12,1o,1-2dep,51-70,N,5512,2961,53.7
12,1o,3+dep,31-50,S,1241,661,53.3
6,1o,sem_dep,31-50,S,771,409,53.0
12,2o+,sem_dep,51-70,N,1371,727,53.0
12,1o,1-2dep,71+,S,770,405,52.6
12,1o,1-2dep,71+,N,1292,677,52.4
6,1o,1-2dep,31-50,N,9391,4905,52.2
12,2o+,sem_dep,71+,S,369,189,51.2
12,1o,1-2dep,51-70,S,2400,1220,50.8
12,2o+,1-2dep,31-50,S,423,215,50.8
12,2o+,sem_dep,71+,N,537,272,50.7
6,1o,1-2dep,31-50,S,1114,563,50.5
12,1o,3+dep,71+,N,1030,520,50.5
12,2o+,1-2dep,31-50,N,2545,1286,50.5
6,1o,3+dep,<=30,N,1673,842,50.3
12,2o+,3+dep,<=30,N,793,393,49.6
12,1o,3+dep,51-70,S,2401,1182,49.2
12,1o,3+dep,51-70,N,5885,2875,48.9
12,2o+,sem_dep,51-70,S,843,412,48.9
12,2o+,1-2dep,71+,N,836,408,48.8
6,1o,sem_dep,51-70,N,4083,1985,48.6
12,2o+,3+dep,31-50,N,4676,2257,48.3
6,1o,sem_dep,51-70,S,1507,727,48.2
12,2o+,1-2dep,51-70,N,2755,1326,48.1
6,1o,3+dep,31-50,N,6153,2932,47.7
6,1o,sem_dep,71+,N,1035,492,47.5
6,1o,1-2dep,51-70,N,5667,2598,45.8
12,1o,3+dep,71+,S,651,297,45.6
6,1o,3+dep,31-50,S,708,322,45.5
6,1o,sem_dep,71+,S,538,244,45.4
6,1o,1-2dep,71+,S,517,234,45.3
12,2o+,3+dep,31-50,S,910,411,45.2
12,2o+,1-2dep,51-70,S,1582,710,44.9
6,1o,1-2dep,51-70,S,1915,853,44.5
12,2o+,3+dep,71+,S,702,311,44.3
12,2o+,3+dep,51-70,N,4136,1831,44.3
12,2o+,3+dep,71+,N,799,353,44.2
6,2o+,sem_dep,<=30,N,1100,485,44.1
12,2o+,1-2dep,71+,S,583,255,43.7
6,1o,1-2dep,71+,N,1026,446,43.5
6,1o,3+dep,71+,S,244,106,43.4
6,2o+,sem_dep,31-50,N,3182,1366,42.9
6,2o+,sem_dep,31-50,S,458,196,42.8
6,2o+,1-2dep,<=30,N,1525,648,42.5
6,1o,3+dep,51-70,N,3256,1379,42.4
12,2o+,3+dep,51-70,S,2402,1019,42.4
6,2o+,1-2dep,31-50,S,841,340,40.4
6,2o+,1-2dep,31-50,N,5565,2229,40.1
6,1o,3+dep,51-70,S,1146,453,39.5
6,1o,3+dep,71+,N,500,197,39.4
6,2o+,sem_dep,51-70,N,2666,1028,38.6
6,2o+,sem_dep,71+,N,716,274,38.3
6,2o+,sem_dep,51-70,S,1212,461,38.0
6,2o+,1-2dep,51-70,N,4208,1564,37.2
6,2o+,sem_dep,71+,S,441,162,36.7
6,2o+,3+dep,31-50,N,6000,2145,35.8
6,2o+,3+dep,<=30,N,1298,462,35.6
6,2o+,1-2dep,71+,N,969,345,35.6
6,2o+,1-2dep,51-70,S,1946,658,33.8
6,2o+,3+dep,71+,N,569,191,33.6
6,2o+,1-2dep,71+,S,589,196,33.3
6,2o+,3+dep,51-70,N,4058,1293,31.9
6,2o+,3+dep,31-50,S,920,283,30.8
6,2o+,3+dep,51-70,S,1947,596,30.6
6,2o+,3+dep,71+,S,441,128,29.0
