mes,id_gateway,transacoes,autorizadas,negadas,taxa_aprov_pct,valor_autorizado,valor_negado
2025-06,0,4,3,0,100.0,0,0
2025-06,1,2173,0,0,,0,0
2025-06,2,11,0,0,,0,0
2025-06,3,6990,2958,0,100.0,360713,0
2025-07,0,50,28,0,100.0,0,0
2025-07,1,11607,0,0,,0,0
2025-07,2,48,0,0,,0,0
2025-07,3,92470,51472,0,100.0,5882504.2,0
2025-08,0,129,58,0,100.0,0,0
2025-08,1,11249,0,0,,0,0
2025-08,2,27,0,0,,0,0
2025-08,3,95301,52148,0,100.0,5758988,0
2025-09,0,101,46,0,100.0,0,0
2025-09,1,8638,0,0,,0,0
2025-09,2,23,0,0,,0,0
2025-09,3,93185,50174,2,100.0,5509373,178
2025-10,0,88,49,0,100.0,0,0
2025-10,1,9061,0,0,,0,0
2025-10,2,36,0,0,,0,0
2025-10,3,96509,51908,3,100.0,5617535,189
2025-11,0,62,31,0,100.0,0,0
2025-11,1,8814,0,0,,0,0
2025-11,2,35,0,0,,0,0
2025-11,3,97430,51641,7,100.0,5619162,606
2025-12,0,40,23,0,100.0,0,0
2025-12,1,6856,0,0,,0,0
2025-12,2,17,0,0,,0,0
2025-12,3,76376,41093,4,100.0,4484409,406
2026-01,0,39,18,0,100.0,0,0
2026-01,1,7237,0,0,,0,0
2026-01,2,29,0,0,,0,0
2026-01,3,89211,47916,3,100.0,5117305,237
2026-02,0,64,30,0,100.0,0,0
2026-02,1,6876,0,0,,0,0
2026-02,2,9,0,0,,0,0
2026-02,3,86832,47354,1,100.0,5070870,64
2026-03,0,68,30,0,100.0,0,0
2026-03,1,15728,0,0,,0,0
2026-03,2,8,0,0,,0,0
2026-03,3,107316,59281,5,100.0,6768095,481
2026-04,0,51,29,0,100.0,0,0
2026-04,1,7181,0,0,,0,0
2026-04,2,30,0,0,,0,0
2026-04,3,81340,43741,8,100.0,5092085,743
2026-05,0,45,25,0,100.0,0,0
2026-05,1,8229,0,0,,0,0
2026-05,2,34,0,0,,0,0
2026-05,3,89109,47011,60,99.9,5430124,8155
2026-06,0,38,25,0,100.0,0,0
2026-06,1,4970,0,0,,0,0
2026-06,2,12,0,0,,0,0
2026-06,3,77807,43357,360,99.2,4924248,42294
