unidade,contratos,churners,churn_rate,com_sac,pct_com_sac,com_cancelamento
TELE,7361,4723,64.16,469,6.37,70
CDBM,106,67,63.21,4,3.77,0
REPU,869,527,60.64,33,3.8,8
DIAD,1107,663,59.89,37,3.34,11
MLUZ,667,397,59.52,20,3.0,12
OSAS,2158,1280,59.31,89,4.12,32
SAND,1830,1084,59.23,62,3.39,18
ITA2,1676,990,59.07,80,4.77,28
GUAR,1530,903,59.02,57,3.73,19
TAT2,2496,1468,58.81,105,4.21,34
ITAQ,1220,716,58.69,54,4.43,19
PARA,863,506,58.63,37,4.29,13
MOOC,814,477,58.6,33,4.05,10
SANT,1004,587,58.47,37,3.69,10
INTE,645,377,58.45,29,4.5,11
SACO,1334,778,58.32,48,3.6,19
IBIR,2015,1175,58.31,92,4.57,27
LAPA,2233,1301,58.26,81,3.63,18
TUCU,1230,715,58.13,56,4.55,18
JABA,1551,901,58.09,75,4.84,21
TREZ,1614,930,57.62,62,3.84,15
TAT3,1204,692,57.48,39,3.24,13
TEO2,1168,669,57.28,42,3.6,15
TATU,2405,1376,57.21,111,4.62,26
STCR,3080,1756,57.01,136,4.42,28
TABO,2082,1180,56.68,101,4.85,24
SBCC,1695,952,56.17,57,3.36,18
BUTA,1339,744,55.56,45,3.36,14
TEOD,979,529,54.03,39,3.98,17
SPMK,2279,1223,53.66,111,4.87,27
GGLI,78,37,47.44,4,5.13,1
COCF,59,26,44.07,3,5.08,0
