mes_vencimento,mes_num,mes_nome,dia_semana_vencimento,dia_semana_nome,duracao,total_contratos,churners,churn_rate
2025-05-01,5,May,1,Dom,12,959,615,64.1
2025-05-01,5,May,1,Dom,6,870,290,33.3
2025-05-01,5,May,2,Seg,12,806,521,64.6
2025-05-01,5,May,2,Seg,6,1135,627,55.2
2025-05-01,5,May,3,Ter,12,937,427,45.6
2025-05-01,5,May,3,Ter,6,1212,531,43.8
2025-05-01,5,May,4,Qua,12,1158,780,67.4
2025-05-01,5,May,4,Qua,6,1363,708,51.9
2025-05-01,5,May,5,Qui,12,1326,698,52.6
2025-05-01,5,May,5,Qui,6,1598,859,53.8
2025-05-01,5,May,6,Sex,12,1464,865,59.1
2025-05-01,5,May,6,Sex,6,1428,768,53.8
2025-05-01,5,May,7,Sab,12,1496,857,57.3
2025-05-01,5,May,7,Sab,6,879,491,55.9
2025-06-01,6,June,1,Dom,12,1126,680,60.4
2025-06-01,6,June,1,Dom,6,742,369,49.7
2025-06-01,6,June,2,Seg,12,925,616,66.6
2025-06-01,6,June,2,Seg,6,1008,456,45.2
2025-06-01,6,June,3,Ter,12,898,375,41.8
2025-06-01,6,June,3,Ter,6,1006,468,46.5
2025-06-01,6,June,4,Qua,12,1111,746,67.1
2025-06-01,6,June,4,Qua,6,1056,585,55.4
2025-06-01,6,June,5,Qui,12,1055,539,51.1
2025-06-01,6,June,5,Qui,6,1145,523,45.7
2025-06-01,6,June,6,Sex,12,1225,709,57.9
2025-06-01,6,June,6,Sex,6,1134,583,51.4
2025-06-01,6,June,7,Sab,12,1088,648,59.6
2025-06-01,6,June,7,Sab,6,954,518,54.3
2025-07-01,7,July,1,Dom,12,939,609,64.9
2025-07-01,7,July,1,Dom,6,963,335,34.8
2025-07-01,7,July,2,Seg,12,813,496,61.0
2025-07-01,7,July,2,Seg,6,1163,691,59.4
2025-07-01,7,July,3,Ter,12,1091,502,46.0
2025-07-01,7,July,3,Ter,6,1337,640,47.9
2025-07-01,7,July,4,Qua,12,1366,901,66.0
2025-07-01,7,July,4,Qua,6,1547,809,52.3
2025-07-01,7,July,5,Qui,12,1332,666,50.0
2025-07-01,7,July,5,Qui,6,1518,787,51.8
2025-07-01,7,July,6,Sex,12,1273,760,59.7
2025-07-01,7,July,6,Sex,6,1158,640,55.3
2025-07-01,7,July,7,Sab,12,1157,661,57.1
2025-07-01,7,July,7,Sab,6,857,473,55.2
2025-08-01,8,August,1,Dom,12,1334,787,59.0
2025-08-01,8,August,1,Dom,6,948,337,35.5
2025-08-01,8,August,2,Seg,12,844,529,62.7
2025-08-01,8,August,2,Seg,6,1123,634,56.5
2025-08-01,8,August,3,Ter,12,911,409,44.9
2025-08-01,8,August,3,Ter,6,1151,510,44.3
2025-08-01,8,August,4,Qua,12,1066,735,68.9
2025-08-01,8,August,4,Qua,6,1156,699,60.5
2025-08-01,8,August,5,Qui,12,1255,697,55.5
2025-08-01,8,August,5,Qui,6,1621,854,52.7
2025-08-01,8,August,6,Sex,12,1638,980,59.8
2025-08-01,8,August,6,Sex,6,1170,649,55.5
2025-08-01,8,August,7,Sab,12,1493,901,60.3
2025-08-01,8,August,7,Sab,6,869,463,53.3
2025-09-01,9,September,1,Dom,12,1016,606,59.6
2025-09-01,9,September,1,Dom,6,1251,602,48.1
2025-09-01,9,September,2,Seg,12,992,620,62.5
2025-09-01,9,September,2,Seg,6,1319,790,59.9
2025-09-01,9,September,3,Ter,12,1159,506,43.7
2025-09-01,9,September,3,Ter,6,1223,543,44.4
2025-09-01,9,September,4,Qua,12,1109,731,65.9
2025-09-01,9,September,4,Qua,6,1119,481,43.0
2025-09-01,9,September,5,Qui,12,1130,617,54.6
2025-09-01,9,September,5,Qui,6,1494,737,49.3
2025-09-01,9,September,6,Sex,12,1260,743,59.0
2025-09-01,9,September,6,Sex,6,1500,772,51.5
2025-09-01,9,September,7,Sab,12,1209,685,56.7
2025-09-01,9,September,7,Sab,6,1447,695,48.0
2025-10-01,10,October,1,Dom,12,902,530,58.8
2025-10-01,10,October,1,Dom,6,1019,584,57.3
2025-10-01,10,October,2,Seg,12,670,418,62.4
2025-10-01,10,October,2,Seg,6,673,386,57.4
2025-10-01,10,October,3,Ter,12,795,370,46.5
2025-10-01,10,October,3,Ter,6,954,363,38.1
2025-10-01,10,October,4,Qua,12,1323,864,65.3
2025-10-01,10,October,4,Qua,6,1870,990,52.9
2025-10-01,10,October,5,Qui,12,1180,723,61.3
2025-10-01,10,October,5,Qui,6,1854,1008,54.4
2025-10-01,10,October,6,Sex,12,1411,912,64.6
2025-10-01,10,October,6,Sex,6,1530,904,59.1
2025-10-01,10,October,7,Sab,12,1106,678,61.3
2025-10-01,10,October,7,Sab,6,1219,639,52.4
2025-11-01,11,November,1,Dom,12,1062,671,63.2
2025-11-01,11,November,1,Dom,6,1622,876,54.0
2025-11-01,11,November,2,Seg,12,798,516,64.7
2025-11-01,11,November,2,Seg,6,1257,760,60.5
2025-11-01,11,November,3,Ter,12,836,371,44.4
2025-11-01,11,November,3,Ter,6,847,437,51.6
2025-11-01,11,November,4,Qua,12,962,671,69.8
2025-11-01,11,November,4,Qua,6,1166,581,49.8
2025-11-01,11,November,5,Qui,12,978,604,61.8
2025-11-01,11,November,5,Qui,6,1766,1037,58.7
2025-11-01,11,November,6,Sex,12,1031,626,60.7
2025-11-01,11,November,6,Sex,6,1714,1004,58.6
2025-11-01,11,November,7,Sab,12,1285,811,63.1
2025-11-01,11,November,7,Sab,6,1759,937,53.3
2025-12-01,12,December,1,Dom,12,690,487,70.6
2025-12-01,12,December,1,Dom,6,972,566,58.2
2025-12-01,12,December,2,Seg,12,733,505,68.9
2025-12-01,12,December,2,Seg,6,1046,692,66.2
2025-12-01,12,December,3,Ter,12,771,430,55.8
2025-12-01,12,December,3,Ter,6,1208,459,38.0
2025-12-01,12,December,4,Qua,12,868,643,74.1
2025-12-01,12,December,4,Qua,6,1581,978,61.9
2025-12-01,12,December,5,Qui,12,703,458,65.1
2025-12-01,12,December,5,Qui,6,1361,812,59.7
2025-12-01,12,December,6,Sex,12,860,506,58.8
2025-12-01,12,December,6,Sex,6,1330,722,54.3
2025-12-01,12,December,7,Sab,12,942,588,62.4
2025-12-01,12,December,7,Sab,6,1245,650,52.2
2026-01-01,1,January,1,Dom,12,1167,748,64.1
2026-01-01,1,January,1,Dom,6,1332,707,53.1
2026-01-01,1,January,2,Seg,12,960,610,63.5
2026-01-01,1,January,2,Seg,6,1118,690,61.7
2026-01-01,1,January,3,Ter,12,1067,433,40.6
2026-01-01,1,January,3,Ter,6,974,484,49.7
2026-01-01,1,January,4,Qua,12,1358,831,61.2
2026-01-01,1,January,4,Qua,6,1287,504,39.2
2026-01-01,1,January,5,Qui,12,1461,742,50.8
2026-01-01,1,January,5,Qui,6,1801,805,44.7
2026-01-01,1,January,6,Sex,12,1502,884,58.9
2026-01-01,1,January,6,Sex,6,1829,948,51.8
2026-01-01,1,January,7,Sab,12,1474,856,58.1
2026-01-01,1,January,7,Sab,6,1647,826,50.2
2026-02-01,2,February,1,Dom,12,1078,646,59.9
2026-02-01,2,February,1,Dom,6,1459,740,50.7
2026-02-01,2,February,2,Seg,12,894,531,59.4
2026-02-01,2,February,2,Seg,6,1142,695,60.9
2026-02-01,2,February,3,Ter,12,1047,493,47.1
2026-02-01,2,February,3,Ter,6,991,504,50.9
2026-02-01,2,February,4,Qua,12,1305,815,62.5
2026-02-01,2,February,4,Qua,6,1283,518,40.4
2026-02-01,2,February,5,Qui,12,1268,680,53.6
2026-02-01,2,February,5,Qui,6,1799,880,48.9
2026-02-01,2,February,6,Sex,12,1316,737,56.0
2026-02-01,2,February,6,Sex,6,1707,957,56.1
2026-02-01,2,February,7,Sab,12,1238,695,56.1
2026-02-01,2,February,7,Sab,6,1939,796,41.1
2026-03-01,3,March,1,Dom,12,1432,862,60.2
2026-03-01,3,March,1,Dom,6,1797,793,44.1
2026-03-01,3,March,2,Seg,12,1158,771,66.6
2026-03-01,3,March,2,Seg,6,2136,1098,51.4
2026-03-01,3,March,3,Ter,12,1191,622,52.2
2026-03-01,3,March,3,Ter,6,1976,1058,53.5
2026-03-01,3,March,4,Qua,12,1396,833,59.7
2026-03-01,3,March,4,Qua,6,1989,1043,52.4
2026-03-01,3,March,5,Qui,12,1391,849,61.0
2026-03-01,3,March,5,Qui,6,1773,949,53.5
2026-03-01,3,March,6,Sex,12,1378,790,57.3
2026-03-01,3,March,6,Sex,6,1533,850,55.4
2026-03-01,3,March,7,Sab,12,1418,789,55.6
2026-03-01,3,March,7,Sab,6,1054,544,51.6
