target,features,fpr,tpr,auc
Original,perfil,0.0,0.0,0.6065
Original,perfil,0.0028,0.0132,0.6065
Original,perfil,0.0057,0.0214,0.6065
Original,perfil,0.0077,0.0267,0.6065
Original,perfil,0.0111,0.0338,0.6065
Original,perfil,0.0141,0.0406,0.6065
Original,perfil,0.0176,0.0478,0.6065
Original,perfil,0.0209,0.0548,0.6065
Original,perfil,0.0238,0.0607,0.6065
Original,perfil,0.0274,0.0673,0.6065
Original,perfil,0.0342,0.0791,0.6065
Original,perfil,0.0418,0.0926,0.6065
Original,perfil,0.0521,0.11,0.6065
Original,perfil,0.0551,0.1144,0.6065
Original,perfil,0.0576,0.1191,0.6065
Original,perfil,0.0603,0.1242,0.6065
Original,perfil,0.063,0.1289,0.6065
Original,perfil,0.0656,0.1333,0.6065
Original,perfil,0.0684,0.138,0.6065
Original,perfil,0.0708,0.1424,0.6065
Original,perfil,0.0734,0.1468,0.6065
Original,perfil,0.0763,0.1509,0.6065
Original,perfil,0.0793,0.1561,0.6065
Original,perfil,0.0821,0.1605,0.6065
Original,perfil,0.0848,0.1645,0.6065
Original,perfil,0.0874,0.1686,0.6065
Original,perfil,0.0912,0.1731,0.6065
Original,perfil,0.0983,0.1828,0.6065
Original,perfil,0.1009,0.1872,0.6065
Original,perfil,0.104,0.1913,0.6065
Original,perfil,0.1083,0.1983,0.6065
Original,perfil,0.1156,0.2085,0.6065
Original,perfil,0.125,0.2198,0.6065
Original,perfil,0.1273,0.2241,0.6065
Original,perfil,0.1306,0.2284,0.6065
Original,perfil,0.1335,0.2331,0.6065
Original,perfil,0.1364,0.2374,0.6065
Original,perfil,0.1398,0.2421,0.6065
Original,perfil,0.1433,0.2477,0.6065
Original,perfil,0.1506,0.2577,0.6065
Original,perfil,0.1558,0.264,0.6065
Original,perfil,0.1599,0.2696,0.6065
Original,perfil,0.1627,0.2737,0.6065
Original,perfil,0.1659,0.2777,0.6065
Original,perfil,0.1689,0.2817,0.6065
Original,perfil,0.1731,0.2872,0.6065
Original,perfil,0.1803,0.2961,0.6065
Original,perfil,0.1836,0.3009,0.6065
Original,perfil,0.1869,0.3048,0.6065
Original,perfil,0.1905,0.3098,0.6065
Original,perfil,0.1987,0.3198,0.6065
Original,perfil,0.2022,0.325,0.6065
Original,perfil,0.2141,0.3386,0.6065
Original,perfil,0.2292,0.3566,0.6065
Original,perfil,0.2323,0.3604,0.6065
Original,perfil,0.2421,0.371,0.6065
Original,perfil,0.2457,0.3751,0.6065
Original,perfil,0.2504,0.3818,0.6065
Original,perfil,0.2536,0.386,0.6065
Original,perfil,0.2566,0.3895,0.6065
Original,perfil,0.2655,0.4004,0.6065
Original,perfil,0.2687,0.4039,0.6065
Original,perfil,0.2718,0.4083,0.6065
Original,perfil,0.2755,0.4127,0.6065
Original,perfil,0.2789,0.4159,0.6065
Original,perfil,0.2821,0.4197,0.6065
Original,perfil,0.287,0.4257,0.6065
Original,perfil,0.2933,0.433,0.6065
Original,perfil,0.2967,0.437,0.6065
Original,perfil,0.3046,0.4463,0.6065
Original,perfil,0.3083,0.4507,0.6065
Original,perfil,0.3179,0.4621,0.6065
Original,perfil,0.3219,0.4671,0.6065
Original,perfil,0.326,0.4715,0.6065
Original,perfil,0.3315,0.4777,0.6065
Original,perfil,0.3354,0.482,0.6065
Original,perfil,0.339,0.4863,0.6065
Original,perfil,0.3494,0.4972,0.6065
Original,perfil,0.3533,0.5011,0.6065
Original,perfil,0.3573,0.5059,0.6065
Original,perfil,0.3611,0.5097,0.6065
Original,perfil,0.3666,0.5159,0.6065
Original,perfil,0.3701,0.5198,0.6065
Original,perfil,0.3755,0.5252,0.6065
Original,perfil,0.3794,0.5293,0.6065
Original,perfil,0.383,0.5331,0.6065
Original,perfil,0.3868,0.5371,0.6065
Original,perfil,0.3952,0.5455,0.6065
Original,perfil,0.3989,0.5495,0.6065
Original,perfil,0.4024,0.5532,0.6065
Original,perfil,0.4056,0.557,0.6065
Original,perfil,0.409,0.5606,0.6065
Original,perfil,0.4126,0.5646,0.6065
Original,perfil,0.417,0.5687,0.6065
Original,perfil,0.4204,0.5721,0.6065
Original,perfil,0.4242,0.5761,0.6065
Original,perfil,0.4277,0.5797,0.6065
Original,perfil,0.431,0.5836,0.6065
Original,perfil,0.4346,0.5871,0.6065
Original,perfil,0.4379,0.5907,0.6065
Original,perfil,0.4506,0.6024,0.6065
Original,perfil,0.4544,0.6056,0.6065
Original,perfil,0.4578,0.6092,0.6065
Original,perfil,0.4615,0.6128,0.6065
Original,perfil,0.4653,0.616,0.6065
Original,perfil,0.4688,0.6196,0.6065
Original,perfil,0.4807,0.6312,0.6065
Original,perfil,0.4841,0.6347,0.6065
Original,perfil,0.4882,0.6381,0.6065
Original,perfil,0.4916,0.641,0.6065
