variavel,coef,se,z,p,odds_ratio,sig
const,0.8925,0.0681,13.102925624572554,3.16806086452659e-39,2.4412,***
ciclo_2o+,-0.428,0.0124,-34.630124236061164,8.89758356131986e-263,0.6518,***
duracao_6,-0.3287,0.0115,-28.692421469394436,4.7433400496101554e-181,0.7198,***
cronico_S,-0.0343,0.0165,-2.0757018960346287,0.037921530483879376,0.9663,*
faixa_dep_3+_dep,-0.1814,0.0147,-12.359749066492853,4.3150158996387545e-35,0.8341,***
faixa_dep_sem_dep,-0.0172,0.0136,-1.2702846088442674,0.2039832686152414,0.9829,n.s.
faixa_idade_cat_jovem,0.3116,0.0198,15.760149889105175,5.849409320119365e-56,1.3655,***
faixa_idade_cat_nan,-0.3689,1.4155,-0.26062974700555736,0.7943780475009788,0.6915,n.s.
faixa_idade_cat_senior,-0.0707,0.013,-5.423852439652655,5.8328038686828494e-08,0.9317,***
canal_simples_presencial,-0.0223,0.0121,-1.8520245596386078,0.06402229629417215,0.9779,n.s.
faixa_nps_cat_neutro,-0.0517,0.0856,-0.6038026065095103,0.5459748863314637,0.9496,n.s.
faixa_nps_cat_promotor,-0.2281,0.0633,-3.6024567951175848,0.0003152238048954156,0.796,***
faixa_nps_cat_sem_nps,-0.1023,0.0615,-1.6638790790280416,0.0961365966430747,0.9027,n.s.
faixa_tempo_cat_longo,-0.1401,0.0249,-5.6265726157173415,1.8382542223295033e-08,0.8693,***
faixa_tempo_cat_medio,-0.0486,0.0277,-1.7543064830891522,0.07937800550434718,0.9526,n.s.
faixa_tempo_cat_sem_atend,0.1942,0.0638,3.0429594058182277,0.002342639326339023,1.2144,**
rotatividade_cat_continuidade,-0.1451,0.0242,-5.984902671804134,2.1651929365620843e-09,0.8649,***
rotatividade_cat_moderada,-0.1048,0.0325,-3.2217898920976182,0.0012739251694649798,0.9005,**
rotatividade_cat_sem_atend,-0.2497,0.0619,-4.0321707037483066,5.526402049186188e-05,0.779,***
