layout,faixa,contratos,churners_v5,churn_rate_v5,churn_rate_v4,churn_rate_original,pct_base
5_faixas,CRITICO,217,191,88.0,53.0,91.2,0.2
5_faixas,ALTO,10262,6871,67.0,30.2,70.2,7.7
5_faixas,MEDIO,88825,46026,51.8,26.3,56.3,66.3
5_faixas,BAIXO,33528,12217,36.4,16.7,44.7,25.0
5_faixas,SEGURO,1112,218,19.6,8.8,33.8,0.8
7_faixas,CRITICO,36,36,100.0,55.6,100.0,0.0
7_faixas,MUITO ALTO,1276,1004,78.7,36.1,81.0,1.0
7_faixas,ALTO,16449,10407,63.3,30.1,66.7,12.3
7_faixas,MEDIO,67759,35547,52.5,26.3,56.9,50.6
7_faixas,BAIXO,39700,16175,40.7,19.9,47.5,29.6
7_faixas,MUITO BAIXO,8609,2352,27.3,13.2,38.0,6.4
7_faixas,SEGURO,115,2,1.7,1.7,27.8,0.1
