perfil_idade,cronico,tem_dependente,duracao,ciclo,contratos,renovaram,taxa_renovacao,churners,churn_rate
adulto_31-50,N,com_dep,12,1,33020,12789,38.7,20231,61.3
adulto_31-50,N,com_dep,12,2,9616,4338,45.1,5278,54.9
adulto_31-50,N,com_dep,12,3,1723,837,48.6,886,51.4
adulto_31-50,N,com_dep,12,4,148,82,55.4,66,44.6
adulto_31-50,N,com_dep,6,1,31908,14084,44.1,17824,55.9
adulto_31-50,N,com_dep,6,2,12431,6318,50.8,6113,49.2
adulto_31-50,N,com_dep,6,3,5380,3102,57.7,2278,42.3
adulto_31-50,N,com_dep,6,4,2251,1407,62.5,844,37.5
adulto_31-50,N,com_dep,6,5,814,515,63.3,299,36.7
adulto_31-50,N,com_dep,6,6,211,143,67.8,68,32.2
adulto_31-50,N,com_dep,6,7,55,35,63.6,20,36.4
adulto_31-50,N,solo,12,1,8844,2576,29.1,6268,70.9
adulto_31-50,N,solo,12,2,1788,644,36.0,1144,64.0
adulto_31-50,N,solo,12,3,293,136,46.4,157,53.6
adulto_31-50,N,solo,12,4,57,31,54.4,26,45.6
adulto_31-50,N,solo,6,1,13546,4828,35.6,8718,64.4
adulto_31-50,N,solo,6,2,4163,1745,41.9,2418,58.1
adulto_31-50,N,solo,6,3,1450,732,50.5,718,49.5
adulto_31-50,N,solo,6,4,521,295,56.6,226,43.4
adulto_31-50,N,solo,6,5,187,113,60.4,74,39.6
adulto_31-50,N,solo,6,6,55,39,70.9,16,29.1
adulto_31-50,S,com_dep,12,1,4536,2024,44.6,2512,55.4
adulto_31-50,S,com_dep,12,2,1719,845,49.2,874,50.8
adulto_31-50,S,com_dep,12,3,356,179,50.3,177,49.7
adulto_31-50,S,com_dep,6,1,3668,1809,49.3,1859,50.7
adulto_31-50,S,com_dep,6,2,1728,981,56.8,747,43.2
adulto_31-50,S,com_dep,6,3,839,519,61.9,320,38.1
adulto_31-50,S,com_dep,6,4,392,231,58.9,161,41.1
adulto_31-50,S,com_dep,6,5,141,97,68.8,44,31.2
adulto_31-50,S,com_dep,6,6,40,24,60.0,16,40.0
adulto_31-50,S,solo,12,1,1049,329,31.4,720,68.6
adulto_31-50,S,solo,12,2,274,107,39.1,167,60.9
adulto_31-50,S,solo,12,3,67,31,46.3,36,53.7
adulto_31-50,S,solo,6,1,1493,598,40.1,895,59.9
adulto_31-50,S,solo,6,2,535,241,45.0,294,55.0
adulto_31-50,S,solo,6,3,192,102,53.1,90,46.9
adulto_31-50,S,solo,6,4,89,54,60.7,35,39.3
adulto_31-50,S,solo,6,5,40,19,47.5,21,52.5
jovem_00-30,N,com_dep,12,1,8919,2865,32.1,6054,67.9
jovem_00-30,N,com_dep,12,2,1762,769,43.6,993,56.4
jovem_00-30,N,com_dep,12,3,273,120,44.0,153,56.0
jovem_00-30,N,com_dep,6,1,10554,4053,38.4,6501,61.6
jovem_00-30,N,com_dep,6,2,3298,1534,46.5,1764,53.5
jovem_00-30,N,com_dep,6,3,1206,663,55.0,543,45.0
jovem_00-30,N,com_dep,6,4,442,273,61.8,169,38.2
jovem_00-30,N,com_dep,6,5,146,101,69.2,45,30.8
jovem_00-30,N,com_dep,6,6,37,23,62.2,14,37.8
jovem_00-30,N,solo,12,1,3662,821,22.4,2841,77.6
jovem_00-30,N,solo,12,2,592,201,34.0,391,66.0
jovem_00-30,N,solo,12,3,111,59,53.2,52,46.8
jovem_00-30,N,solo,12,4,33,17,51.5,16,48.5
jovem_00-30,N,solo,6,1,6390,1870,29.3,4520,70.7
jovem_00-30,N,solo,6,2,1493,592,39.7,901,60.3
jovem_00-30,N,solo,6,3,468,223,47.6,245,52.4
jovem_00-30,N,solo,6,4,176,101,57.4,75,42.6
jovem_00-30,N,solo,6,5,63,41,65.1,22,34.9
jovem_00-30,S,com_dep,12,1,357,136,38.1,221,61.9
jovem_00-30,S,com_dep,12,2,97,37,38.1,60,61.9
jovem_00-30,S,com_dep,6,1,315,141,44.8,174,55.2
jovem_00-30,S,com_dep,6,2,128,68,53.1,60,46.9
jovem_00-30,S,com_dep,6,3,55,30,54.5,25,45.5
jovem_00-30,S,solo,12,1,80,29,36.3,51,63.8
jovem_00-30,S,solo,6,1,174,64,36.8,110,63.2
jovem_00-30,S,solo,6,2,60,16,26.7,44,73.3
senior_51+,N,com_dep,12,1,30037,13765,45.8,16272,54.2
senior_51+,N,com_dep,12,2,11357,5427,47.8,5930,52.2
senior_51+,N,com_dep,12,3,2210,1112,50.3,1098,49.7
senior_51+,N,com_dep,12,4,163,90,55.2,73,44.8
senior_51+,N,com_dep,6,1,21314,10807,50.7,10507,49.3
senior_51+,N,com_dep,6,2,9839,5389,54.8,4450,45.2
senior_51+,N,com_dep,6,3,4638,2798,60.3,1840,39.7
senior_51+,N,com_dep,6,4,2062,1331,64.5,731,35.5
senior_51+,N,com_dep,6,5,875,575,65.7,300,34.3
senior_51+,N,com_dep,6,6,257,186,72.4,71,27.6
senior_51+,N,com_dep,6,7,69,49,71.0,20,29.0
senior_51+,N,solo,12,1,8799,3195,36.3,5604,63.7
senior_51+,N,solo,12,2,2677,1089,40.7,1588,59.3
senior_51+,N,solo,12,3,496,226,45.6,270,54.4
senior_51+,N,solo,12,4,111,51,45.9,60,54.1
senior_51+,N,solo,6,1,10514,4554,43.3,5960,56.7
senior_51+,N,solo,6,2,3986,1862,46.7,2124,53.3
senior_51+,N,solo,6,3,1574,848,53.9,726,46.1
senior_51+,N,solo,6,4,628,387,61.6,241,38.4
senior_51+,N,solo,6,5,255,156,61.2,99,38.8
senior_51+,N,solo,6,6,90,62,68.9,28,31.1
senior_51+,N,solo,6,7,45,40,88.9,5,11.1
senior_51+,N,solo,6,8,30,21,70.0,9,30.0
senior_51+,S,com_dep,12,1,13813,6897,49.9,6916,50.1
senior_51+,S,com_dep,12,2,6744,3609,53.5,3135,46.5
senior_51+,S,com_dep,12,3,1726,899,52.1,827,47.9
senior_51+,S,com_dep,12,4,126,64,50.8,62,49.2
senior_51+,S,com_dep,6,1,7876,4306,54.7,3570,45.3
senior_51+,S,com_dep,6,2,4312,2594,60.2,1718,39.8
senior_51+,S,com_dep,6,3,2433,1596,65.6,837,34.4
senior_51+,S,com_dep,6,4,1342,930,69.3,412,30.7
senior_51+,S,com_dep,6,5,651,444,68.2,207,31.8
senior_51+,S,com_dep,6,6,214,148,69.2,66,30.8
senior_51+,S,com_dep,6,7,51,38,74.5,13,25.5
senior_51+,S,solo,12,1,4085,1660,40.6,2425,59.4
senior_51+,S,solo,12,2,1537,688,44.8,849,55.2
senior_51+,S,solo,12,3,387,201,51.9,186,48.1
senior_51+,S,solo,12,4,123,75,61.0,48,39.0
senior_51+,S,solo,12,5,33,17,51.5,16,48.5
senior_51+,S,solo,6,1,4065,1901,46.8,2164,53.2
senior_51+,S,solo,6,2,1732,871,50.3,861,49.7
senior_51+,S,solo,6,3,792,450,56.8,342,43.2
senior_51+,S,solo,6,4,379,242,63.9,137,36.1
senior_51+,S,solo,6,5,178,118,66.3,60,33.7
senior_51+,S,solo,6,6,67,48,71.6,19,28.4
senior_51+,S,solo,6,7,46,37,80.4,9,19.6
senior_51+,S,solo,6,8,30,22,73.3,8,26.7
