contract_id,churn_sn,duracao,ciclo,qtd_atendimentos,tme_recepcao_medio,tme_preconsulta_medio,tme_consulta_medio,tme_total_medio,tma_recepcao_medio,tma_preconsulta_medio,tma_consulta_medio,tma_posconsulta_medio,tm_total_medio,espera_senha_ate_consulta_medio,qtd_com_tme_rec,qtd_com_tme_pre,qtd_com_tme_con,qtd_com_stamps
00008030-89c9-11f0-b769-01511b07cb67-1,N,6,1o,5,212,66,973,1140,69,140,675,196,1941,1266,3,3,5,5
00013790-00d1-11f0-8dd0-d706c3181627-1,S,12,1o,11,916,324,49,162,135,84,394,71,575,181,1,1,11,11
0002c4b0-7699-11ef-abcb-f96aaf665516-1,N,12,1o,2,141,216,731,979,146,123,449,134,1635,1186,2,1,2,2
0002dc80-24db-11ef-bb14-0f151dfcacab-1,S,12,1o,11,222,,2493,2654,92,,667,233,3405,2738,8,0,11,11
00033d00-5cdf-11f0-805d-c9576672f341-1,S,6,1o,1,339,,5452,5791,197,,865,62,6853,5988,1,0,1,1
0004ba00-7390-11f0-a876-15351e6f0eba-1,S,6,1o,7,799,831,1270,2074,126,559,752,282,3013,2262,6,1,7,7
00052b90-e3fb-11ef-87d5-39fae5c6a55c-1,S,12,1o,15,283,532,1296,1518,133,194,613,85,2227,1615,8,2,15,15
00053a00-3ea2-11ed-b855-67e9116039fd-3,N,12,2o+,3,555,141,1725,2142,196,113,815,327,3125,2310,2,1,3,3
0005c1c0-e4a8-11ee-8a6c-d7fcf1602b81-2,N,12,2o+,2,,,6,6,,,400,,406,6,0,0,2,2
000644c0-bd32-11ef-8136-977f6005cce3-1,N,12,1o,2,,,,0,,,,,,,0,0,0,2
000665f0-2c3a-11f0-b6ba-09a36aa659f8-1,N,12,1o,4,58,218,848,961,262,182,845,234,2114,1269,4,1,4,4
0006d3a0-9931-11f0-8480-59030cb38447-1,S,6,1o,1,114,,1127,1241,384,,3554,,5179,1625,1,0,1,1
000711a0-8035-11ef-a2ff-e1e1b736184e-1,N,12,1o,1,,,9,9,,,867,,876,9,0,0,1,1
00087c10-48c4-11ee-bff5-3f20a1655671-4,S,6,2o+,13,340,245,1753,2142,85,186,1058,194,3336,2278,12,4,13,13
000a4c50-ff31-11ef-b57a-1f68f325754c-1,S,6,1o,2,58,,1965,2023,300,,353,,2675,2323,2,0,2,2
000ab830-e88d-11ef-b095-7b9d4561f375-1,S,12,1o,4,251,,2429,2680,104,,1327,40,4111,2784,4,0,4,4
000b3150-654f-11ef-9f36-d36422da4642-1,S,12,1o,5,186,,1078,1227,134,,429,352,1763,1333,4,0,5,5
000b8bf0-f127-11ef-b4e1-c9020d8e0b6d-1,N,6,1o,1,87,66,845,998,94,134,482,,1708,1226,1,1,1,1
000bfb80-b021-11f0-afbc-693654da3205-1,S,6,1o,1,,,10,10,,,304,,314,10,0,0,1,1
000c1a30-705c-11ef-8d91-dbd097434b3e-2,S,6,2o+,2,29,724,970,1709,34,62,1270,,3057,1788,1,2,2,2
000ca760-8a2f-11ef-a7ef-ad584e669c61-1,S,12,1o,13,210,1406,1596,1882,104,134,430,21,2411,1981,11,1,13,13
000cdce0-2238-11ee-9e87-112089370098-2,S,12,2o+,7,257,120,1160,1435,205,97,242,76,1896,1654,7,1,7,7
000cfa80-1a03-11f0-9aed-ef8c094db5fc-1,N,12,1o,7,138,70,1476,1604,99,59,747,107,2443,1697,6,1,7,7
000f4cd0-ae89-11ef-8e82-4dd4a7f8401b-2,S,6,2o+,1,79,248,1142,1469,81,217,644,,2411,1767,1,1,1,1
000ffec0-60da-11ef-b7f7-5584adbffc31-1,N,12,1o,4,61,183,2090,2197,207,1025,504,,3165,2660,4,1,4,4
001038e0-ad65-11ef-b937-357d0e4b7691-1,S,12,1o,2,37,73,2374,1242,94,106,405,382,1747,1342,1,1,1,2
00104b80-c6cc-11ee-9bd9-438ef6e64289-2,N,12,2o+,4,28,245,780,855,93,114,400,428,1376,976,2,1,4,4
00120e40-944d-11ee-82e4-57a146483ea3-2,S,12,2o+,7,90,478,1715,2011,214,195,364,219,2673,2309,7,3,7,7
00126510-73d1-11f0-b2fe-87e5048c8d47-1,N,6,1o,11,528,,350,446,122,,332,3,801,468,2,0,11,11
0012d470-5b75-11ef-82d4-b52e463c9dec-1,N,12,1o,1,134,,1045,1179,35,,908,,2122,1214,1,0,1,1
0012d4d0-9816-11ed-930d-fbe4057423fe-3,N,12,2o+,7,420,,2545,2905,116,,361,123,3365,3004,6,0,7,7
0013f2f0-13ae-11f0-bb7b-8174988d88dd-1,N,12,1o,13,519,661,1714,2428,113,132,576,100,3408,2831,11,8,12,13
00142b50-e0bc-11ef-8d19-791c9b6b5453-1,N,12,1o,7,379,,1270,1486,136,,714,542,2316,1602,4,0,7,7
001462a0-4386-11f0-a5e2-974bc872159a-1,N,6,1o,8,153,142,1563,1715,200,52,331,571,2252,1921,7,1,8,8
