layout,faixa,feature,mudanca,afetados,migraram,pct_migraram,score_antes,score_depois,delta_score,churn_afetados,destinos
5_faixas,ALTO,ciclo,1o → 2o+ (sobreviver ao primeiro ciclo),2486,0,0.0,347,347,0,52.7,-
5_faixas,ALTO,cronico,N → S (acompanhamento cronico),3026,0,0.0,356,356,0,51.5,-
5_faixas,ALTO,faixa_dep,sem_dep → 1-2_dep (adicionar dependente),3027,3020,99.8,356,714,358,51.5,"BAIXO(2995), MEDIO(25)"
5_faixas,ALTO,faixa_dep,sem_dep → 3+_dep (familia completa),3031,3020,99.6,356,713,357,51.5,"BAIXO(2995), MEDIO(25)"
5_faixas,ALTO,faixa_nps_cat,detrator/neutro/sem → promotor (NPS 9+),3022,6,0.2,356,305,-51,51.4,MEDIO(6)
5_faixas,ALTO,rotatividade_cat,alta/sem_atend → continuidade (mesmo medico),2513,1,0.0,351,349,-2,51.2,MEDIO(1)
5_faixas,ALTO,faixa_tempo_cat,sem_atend/curto → longo (engajamento),2722,762,28.0,353,377,24,51.1,MEDIO(762)
5_faixas,ALTO,faixa_idade_cat,jovem → adulto (envelhecimento natural),195,0,0.0,391,332,-59,57.9,-
5_faixas,ALTO,duracao,12 → 6 (plano semestral),2996,0,0.0,356,356,0,51.2,-
5_faixas,MEDIO,ciclo,1o → 2o+ (sobreviver ao primeiro ciclo),20942,0,0.0,519,519,0,40.8,-
5_faixas,MEDIO,cronico,N → S (acompanhamento cronico),29311,0,0.0,518,518,0,40.6,-
5_faixas,MEDIO,faixa_dep,sem_dep → 1-2_dep (adicionar dependente),29546,29532,100.0,517,772,255,40.7,"BAIXO(23409), SEGURO(6123)"
5_faixas,MEDIO,faixa_dep,sem_dep → 3+_dep (familia completa),29568,29532,99.9,517,771,254,40.7,"BAIXO(23409), SEGURO(6123)"
5_faixas,MEDIO,faixa_nps_cat,detrator/neutro/sem → promotor (NPS 9+),27574,9,0.0,515,467,-48,40.7,BAIXO(9)
5_faixas,MEDIO,rotatividade_cat,alta/sem_atend → continuidade (mesmo medico),13008,48,0.4,504,504,0,41.6,BAIXO(48)
5_faixas,MEDIO,faixa_tempo_cat,sem_atend/curto → longo (engajamento),16001,3734,23.3,507,537,30,41.1,BAIXO(3734)
5_faixas,MEDIO,faixa_idade_cat,jovem → adulto (envelhecimento natural),1534,1,0.1,538,423,-115,39.5,BAIXO(1)
5_faixas,MEDIO,duracao,12 → 6 (plano semestral),10707,0,0.0,495,495,0,42.8,-
5_faixas,BAIXO,ciclo,1o → 2o+ (sobreviver ao primeiro ciclo),29950,0,0.0,749,749,0,22.4,-
5_faixas,BAIXO,cronico,N → S (acompanhamento cronico),40861,0,0.0,739,739,0,22.9,-
5_faixas,BAIXO,faixa_dep,sem_dep → 1-2_dep (adicionar dependente),25174,12028,47.8,728,791,63,23.3,SEGURO(12028)
5_faixas,BAIXO,faixa_dep,sem_dep → 3+_dep (familia completa),37871,12002,31.7,733,784,51,23.1,SEGURO(12002)
5_faixas,BAIXO,faixa_nps_cat,detrator/neutro/sem → promotor (NPS 9+),42552,71,0.2,742,703,-39,22.8,SEGURO(71)
5_faixas,BAIXO,rotatividade_cat,alta/sem_atend → continuidade (mesmo medico),25190,149,0.6,745,744,-1,22.7,SEGURO(149)
5_faixas,BAIXO,faixa_tempo_cat,sem_atend/curto → longo (engajamento),28318,8863,31.3,744,770,26,22.7,SEGURO(8863)
5_faixas,BAIXO,faixa_idade_cat,jovem → adulto (envelhecimento natural),23703,1839,7.8,751,671,-80,23.0,SEGURO(1839)
5_faixas,BAIXO,duracao,12 → 6 (plano semestral),19479,0,0.0,742,742,0,23.4,-
7_faixas,ALTO,ciclo,1o → 2o+ (sobreviver ao primeiro ciclo),3118,0,0.0,362,362,0,52.0,-
7_faixas,ALTO,cronico,N → S (acompanhamento cronico),5157,0,0.0,378,378,0,50.5,-
7_faixas,ALTO,faixa_dep,sem_dep → 1-2_dep (adicionar dependente),5215,5210,99.9,379,719,340,50.6,"MUITO BAIXO(3925), BAIXO(1280), MEDIO(5)"
7_faixas,ALTO,faixa_dep,sem_dep → 3+_dep (familia completa),5217,5210,99.9,379,719,340,50.5,"MUITO BAIXO(3925), BAIXO(1280), MEDIO(5)"
7_faixas,ALTO,faixa_nps_cat,detrator/neutro/sem → promotor (NPS 9+),5178,6,0.1,378,327,-51,50.5,MEDIO(6)
7_faixas,ALTO,rotatividade_cat,alta/sem_atend → continuidade (mesmo medico),4137,1,0.0,374,373,-1,50.3,MEDIO(1)
7_faixas,ALTO,faixa_tempo_cat,sem_atend/curto → longo (engajamento),4558,2343,51.4,375,410,35,50.2,MEDIO(2343)
7_faixas,ALTO,faixa_idade_cat,jovem → adulto (envelhecimento natural),234,0,0.0,396,343,-53,56.4,-
7_faixas,ALTO,duracao,12 → 6 (plano semestral),5141,0,0.0,378,378,0,50.3,-
7_faixas,MEDIO,ciclo,1o → 2o+ (sobreviver ao primeiro ciclo),17316,0,0.0,511,511,0,41.6,-
7_faixas,MEDIO,cronico,N → S (acompanhamento cronico),23176,0,0.0,516,516,0,41.0,-
7_faixas,MEDIO,faixa_dep,sem_dep → 1-2_dep (adicionar dependente),23327,23321,100.0,516,771,255,41.0,"MUITO BAIXO(22655), BAIXO(665), SEGURO(1)"
