unidade,total_contratos,churners,churn_rate,media_itens
TELE,15327,9823,64.1,10.7
CDBM,220,132,60.0,15.0
INTE,1349,808,59.9,14.8
PARA,1770,1051,59.4,14.1
REPU,1742,1022,58.7,14.6
GUAR,3202,1881,58.7,14.9
DIAD,2314,1352,58.4,14.4
JABA,3325,1937,58.3,13.6
OSAS,4474,2604,58.2,15.1
ITAQ,2702,1570,58.1,14.0
ITA2,3480,2019,58.0,15.8
LAPA,4581,2650,57.8,14.7
MLUZ,1469,847,57.7,15.8
TAT2,5411,3114,57.5,13.8
SAND,3987,2290,57.4,13.8
IBIR,3985,2289,57.4,15.2
MOOC,1811,1039,57.4,14.1
TUCU,2621,1504,57.4,16.0
TREZ,3413,1956,57.3,13.3
SANT,2147,1226,57.1,14.6
SACO,2696,1529,56.7,15.2
TABO,4358,2469,56.7,16.2
TATU,4803,2719,56.6,14.2
TAT3,2728,1538,56.4,14.4
STCR,6281,3526,56.1,13.8
TEO2,2354,1313,55.8,10.8
BUTA,2744,1532,55.8,15.5
SBCC,3742,2080,55.6,14.0
TEOD,2211,1228,55.5,13.5
SPMK,4863,2598,53.4,16.3
(sem consumo),100114,51779,51.7,0.0
GGLI,80,39,48.8,5.1
COCF,82,35,42.7,9.6
