mes_vencimento,duracao,total_contratos,churners,churn_rate
2025-04-01,12,7762,4695,60.5
2025-04-01,6,8043,4303,53.5
2025-05-01,12,8146,4763,58.5
2025-05-01,6,8485,4274,50.4
2025-06-01,12,7428,4313,58.1
2025-06-01,6,7045,3502,49.7
2025-07-01,12,7971,4595,57.6
2025-07-01,6,8543,4375,51.2
2025-08-01,12,8541,5038,59.0
2025-08-01,6,8038,4146,51.6
2025-09-01,12,7875,4508,57.2
2025-09-01,6,9353,4620,49.4
2025-10-01,12,7387,4495,60.9
2025-10-01,6,9119,4874,53.4
2025-11-01,12,6952,4270,61.4
2025-11-01,6,10131,5632,55.6
2025-12-01,12,5567,3617,65.0
2025-12-01,6,8743,4879,55.8
2026-01-01,12,8989,5104,56.8
2026-01-01,6,9988,4964,49.7
2026-02-01,12,8146,4597,56.4
2026-02-01,6,10320,5090,49.3
2026-03-01,12,9364,5516,58.9
2026-03-01,6,12258,6335,51.7
