mes_vencimento,dimensao,segmento,total_contratos,churners,churn_rate
2025-04-01,account_contract_number,1o contrato,9788,5986,61.2
2025-04-01,account_contract_number,2o+ contrato,6017,3012,50.1
2025-05-01,account_contract_number,1o contrato,10124,6004,59.3
2025-05-01,account_contract_number,2o+ contrato,6507,3033,46.6
2025-06-01,account_contract_number,1o contrato,8692,5040,58.0
2025-06-01,account_contract_number,2o+ contrato,5781,2775,48.0
2025-07-01,account_contract_number,1o contrato,9668,5650,58.4
2025-07-01,account_contract_number,2o+ contrato,6846,3320,48.5
2025-08-01,account_contract_number,1o contrato,9737,5772,59.3
2025-08-01,account_contract_number,2o+ contrato,6842,3412,49.9
2025-09-01,account_contract_number,1o contrato,10028,5657,56.4
2025-09-01,account_contract_number,2o+ contrato,7200,3471,48.2
2025-10-01,account_contract_number,1o contrato,10180,6258,61.5
2025-10-01,account_contract_number,2o+ contrato,6326,3111,49.2
2025-11-01,account_contract_number,1o contrato,10275,6364,61.9
2025-11-01,account_contract_number,2o+ contrato,6808,3538,52.0
2025-12-01,account_contract_number,1o contrato,8751,5561,63.5
2025-12-01,account_contract_number,2o+ contrato,5559,2935,52.8
2026-01-01,account_contract_number,1o contrato,11804,6658,56.4
2026-01-01,account_contract_number,2o+ contrato,7173,3410,47.5
2026-02-01,account_contract_number,1o contrato,12085,6784,56.1
2026-02-01,account_contract_number,2o+ contrato,6381,2903,45.5
2026-03-01,account_contract_number,1o contrato,13328,7922,59.4
2026-03-01,account_contract_number,2o+ contrato,8294,3929,47.4
2025-04-01,classe_social,(sem dados),1462,915,62.6
2025-04-01,classe_social,E,143,86,60.1
2025-04-01,classe_social,B2,3797,2170,57.2
2025-04-01,classe_social,C1,2893,1647,56.9
2025-04-01,classe_social,D,171,96,56.1
2025-04-01,classe_social,C2,3887,2182,56.1
2025-04-01,classe_social,B1,2421,1347,55.6
2025-04-01,classe_social,A+,615,337,54.8
2025-04-01,classe_social,A++,416,218,52.4
2025-05-01,classe_social,SEM_INFORMACAO,1,1,100.0
2025-05-01,classe_social,(sem dados),1492,947,63.5
2025-05-01,classe_social,D,161,92,57.1
2025-05-01,classe_social,B1,2507,1369,54.6
2025-05-01,classe_social,C2,4026,2174,54.0
2025-05-01,classe_social,C1,3141,1676,53.4
2025-05-01,classe_social,B2,4045,2144,53.0
2025-05-01,classe_social,E,143,73,51.0
2025-05-01,classe_social,A+,709,360,50.8
2025-05-01,classe_social,A++,406,201,49.5
2025-06-01,classe_social,D,146,93,63.7
2025-06-01,classe_social,(sem dados),1380,818,59.3
2025-06-01,classe_social,E,135,79,58.5
2025-06-01,classe_social,C2,3551,1944,54.7
2025-06-01,classe_social,C1,2572,1380,53.7
2025-06-01,classe_social,B2,3590,1922,53.5
2025-06-01,classe_social,B1,2134,1106,51.8
2025-06-01,classe_social,A+,569,285,50.1
2025-06-01,classe_social,A++,396,188,47.5
2025-07-01,classe_social,(sem dados),1540,901,58.5
2025-07-01,classe_social,D,184,106,57.6
2025-07-01,classe_social,E,151,85,56.3
2025-07-01,classe_social,C2,4067,2248,55.3
2025-07-01,classe_social,C1,3073,1654,53.8
2025-07-01,classe_social,B1,2483,1333,53.7
2025-07-01,classe_social,B2,3961,2115,53.4
2025-07-01,classe_social,A++,461,233,50.5
2025-07-01,classe_social,A+,594,295,49.7
2025-08-01,classe_social,SEM_INFORMACAO,1,1,100.0
2025-08-01,classe_social,(sem dados),1409,881,62.5
2025-08-01,classe_social,D,192,116,60.4
2025-08-01,classe_social,E,149,86,57.7
2025-08-01,classe_social,C2,4110,2284,55.6
2025-08-01,classe_social,C1,3121,1714,54.9
2025-08-01,classe_social,B1,2578,1405,54.5
2025-08-01,classe_social,B2,3937,2127,54.0
2025-08-01,classe_social,A+,644,340,52.8
2025-08-01,classe_social,A++,438,230,52.5
2025-09-01,classe_social,(sem dados),1618,954,59.0
2025-09-01,classe_social,A++,441,238,54.0
2025-09-01,classe_social,B2,4186,2231,53.3
2025-09-01,classe_social,C1,3126,1641,52.5
2025-09-01,classe_social,C2,4307,2247,52.2
2025-09-01,classe_social,B1,2522,1305,51.7
2025-09-01,classe_social,A+,679,343,50.5
2025-09-01,classe_social,D,167,82,49.1
2025-09-01,classe_social,E,181,87,48.1
2025-09-01,classe_social,SEM_INFORMACAO,1,0,0.0
2025-10-01,classe_social,D,147,91,61.9
2025-10-01,classe_social,(sem dados),1550,957,61.7
2025-10-01,classe_social,E,129,78,60.5
2025-10-01,classe_social,A++,425,251,59.1
2025-10-01,classe_social,B1,2509,1425,56.8
2025-10-01,classe_social,C2,4046,2300,56.8
2025-10-01,classe_social,A+,661,371,56.1
2025-10-01,classe_social,B2,3979,2231,56.1
2025-10-01,classe_social,C1,3060,1665,54.4
2025-11-01,classe_social,(sem dados),1537,958,62.3
2025-11-01,classe_social,B1,2602,1516,58.3
2025-11-01,classe_social,A+,705,408,57.9
2025-11-01,classe_social,B2,4115,2376,57.7
2025-11-01,classe_social,C1,3241,1862,57.5
2025-11-01,classe_social,C2,4124,2364,57.3
2025-11-01,classe_social,E,154,87,56.5
2025-11-01,classe_social,A++,431,240,55.7
2025-11-01,classe_social,D,174,91,52.3
2025-12-01,classe_social,(sem dados),1427,907,63.6
2025-12-01,classe_social,D,143,88,61.5
2025-12-01,classe_social,E,115,70,60.9
2025-12-01,classe_social,C1,2584,1545,59.8
2025-12-01,classe_social,C2,3522,2078,59.0
2025-12-01,classe_social,B1,2095,1237,59.0
2025-12-01,classe_social,B2,3481,2051,58.9
2025-12-01,classe_social,A+,580,324,55.9
2025-12-01,classe_social,A++,363,196,54.0
2026-01-01,classe_social,(sem dados),1774,1052,59.3
2026-01-01,classe_social,D,172,99,57.6
2026-01-01,classe_social,C1,3431,1839,53.6
2026-01-01,classe_social,C2,4715,2481,52.6
2026-01-01,classe_social,E,183,96,52.5
2026-01-01,classe_social,B1,2885,1496,51.9
2026-01-01,classe_social,B2,4532,2350,51.9
2026-01-01,classe_social,A+,789,402,51.0
2026-01-01,classe_social,A++,496,253,51.0
2026-02-01,classe_social,(sem dados),1668,918,55.0
2026-02-01,classe_social,B1,2777,1476,53.2
2026-02-01,classe_social,C2,4566,2401,52.6
2026-02-01,classe_social,B2,4503,2358,52.4
2026-02-01,classe_social,A+,763,394,51.6
2026-02-01,classe_social,E,156,80,51.3
2026-02-01,classe_social,C1,3414,1749,51.2
2026-02-01,classe_social,A++,431,217,50.3
2026-02-01,classe_social,D,188,94,50.0
2026-03-01,classe_social,(sem dados),2036,1211,59.5
2026-03-01,classe_social,A+,866,486,56.1
2026-03-01,classe_social,C1,3995,2191,54.8
2026-03-01,classe_social,C2,5475,3002,54.8
2026-03-01,classe_social,B2,5108,2788,54.6
2026-03-01,classe_social,B1,3176,1683,53.0
2026-03-01,classe_social,D,231,120,51.9
2026-03-01,classe_social,A++,540,277,51.3
2026-03-01,classe_social,E,195,93,47.7
2025-04-01,consumo_sn,S,9229,5566,60.3
2025-04-01,consumo_sn,N,6576,3432,52.2
2025-05-01,consumo_sn,S,9506,5559,58.5
2025-05-01,consumo_sn,N,7125,3478,48.8
2025-06-01,consumo_sn,S,8213,4709,57.3
2025-06-01,consumo_sn,N,6260,3106,49.6
2025-07-01,consumo_sn,S,9130,5260,57.6
2025-07-01,consumo_sn,N,7384,3710,50.2
2025-08-01,consumo_sn,S,9099,5278,58.0
