contract_id,account_id,person_id,contract_register_date,contract_due_date,account_due_date,days_diff_until_next_contract,contract_sale_type,plan_name,next_account_id,next_contract_id,next_register_date,next_due_date,next_sale_type,next_plan_name,tipo,gap_dias
507a3310-8a3c-11ed-bc25-799306edd0da-3,507a3310-8a3c-11ed-bc25-799306edd0da,507948b0-8a3c-11ed-bc25-799306edd0da,2025-01-02,2026-01-02,2026-01-02,17,renewal,yalo familia cartao dr.consulta,c2aafcc0-f506-11f0-88b5-ef6ea25d829a,c2aafcc0-f506-11f0-88b5-ef6ea25d829a-1,2026-01-19,2026-03-20,renewal,cartao dr.consulta - gratis,OUTRO account,17
4c7f9ee0-8ad6-11ed-a89d-2fb92955d80a-3,4c7f9ee0-8ad6-11ed-a89d-2fb92955d80a,4c7eb480-8ad6-11ed-a89d-2fb92955d80a,2025-01-02,2026-01-03,2026-01-03,17,renewal,yalo familia cartao dr.consulta,0af22750-f5d0-11f0-ac37-45e62633af60,0af22750-f5d0-11f0-ac37-45e62633af60-1,2026-01-20,2026-03-21,renewal,cartao dr.consulta - gratis,OUTRO account,17
4d420210-8b66-11ed-8e0d-5976692537ab-3,4d420210-8b66-11ed-8e0d-5976692537ab,4d3ecdc0-8b66-11ed-8e0d-5976692537ab,2025-01-03,2026-01-04,2026-01-04,17,renewal,yalo familia cartao dr.consulta,300ea260-f699-11f0-b840-172155ff7d81,300ea260-f699-11f0-b840-172155ff7d81-1,2026-01-21,2026-03-22,renewal,cartao dr.consulta - gratis,OUTRO account,17
4cfc85e0-8b6c-11ed-a2ea-4120f1e97bcf-3,4cfc85e0-8b6c-11ed-a2ea-4120f1e97bcf,4cfb9b80-8b6c-11ed-a2ea-4120f1e97bcf,2025-01-03,2026-01-04,2026-01-04,17,renewal,yalo familia cartao dr.consulta,3184a090-f699-11f0-9f0e-05143e59906f,3184a090-f699-11f0-9f0e-05143e59906f-1,2026-01-21,2026-03-22,renewal,cartao dr.consulta - gratis,OUTRO account,17
45973550-8c3b-11ed-b2e0-6d2fb632caf5-3,45973550-8c3b-11ed-b2e0-6d2fb632caf5,459587a0-8c3b-11ed-b2e0-6d2fb632caf5,2025-01-04,2026-01-05,2026-01-05,17,renewal,yalo familia cartao dr.consulta,49105c30-f762-11f0-83de-f9eb8adb012c,49105c30-f762-11f0-83de-f9eb8adb012c-1,2026-01-22,2026-03-23,renewal,cartao dr.consulta - gratis,OUTRO account,17
4844c830-8df3-11ed-895b-5d1ed95e535d-3,4844c830-8df3-11ed-895b-5d1ed95e535d,48425730-8df3-11ed-895b-5d1ed95e535d,2025-01-06,2026-01-07,2026-01-07,17,renewal,yalo familia cartao dr.consulta,99f31a00-f8f4-11f0-95d7-5d85bc99628b,99f31a00-f8f4-11f0-95d7-5d85bc99628b-1,2026-01-24,2026-03-25,renewal,cartao dr.consulta - gratis,OUTRO account,17
3c849770-ccc9-11ef-a360-d32bc9a3cce6-1,3c849770-ccc9-11ef-a360-d32bc9a3cce6,b14f1c50-3d19-11ea-ac48-fd8dbab84bdb,2025-01-07,2026-01-08,2026-01-08,17,renewal,yalo familia cartao dr.consulta,e154eda0-f9bd-11f0-a376-970c6105e58b,e154eda0-f9bd-11f0-a376-970c6105e58b-1,2026-01-25,2026-03-26,renewal,cartao dr.consulta - gratis,OUTRO account,17
460962f0-8868-11ed-84e0-e50ef83697e4-3,460962f0-8868-11ed-84e0-e50ef83697e4,46089fa0-8868-11ed-84e0-e50ef83697e4,2024-12-30,2026-01-08,2026-01-08,17,renewal,yalo familia cartao dr.consulta,e1318720-f9bd-11f0-85e5-893f2154b212,e1318720-f9bd-11f0-85e5-893f2154b212-1,2026-01-25,2026-03-26,renewal,cartao dr.consulta - gratis,OUTRO account,17
4038d440-906b-11ed-8a84-a7bf61621fc7-3,4038d440-906b-11ed-8a84-a7bf61621fc7,402a7c60-906b-11ed-8a84-a7bf61621fc7,2025-01-09,2026-01-10,2026-01-10,17,renewal,yalo familia cartao dr.consulta,3fa9e660-fb50-11f0-a001-1d1a62d666b1,3fa9e660-fb50-11f0-a001-1d1a62d666b1-1,2026-01-27,2026-03-28,renewal,cartao dr.consulta - gratis,OUTRO account,17
3c2d80c0-9111-11ed-adb8-a9707becd505-3,3c2d80c0-9111-11ed-adb8-a9707becd505,3c2ce480-9111-11ed-adb8-a9707becd505,2025-01-10,2026-01-11,2026-01-11,17,renewal,yalo familia cartao dr.consulta,7e4ca6e0-fc19-11f0-adc4-398203e85f6b,7e4ca6e0-fc19-11f0-adc4-398203e85f6b-1,2026-01-28,2026-03-29,renewal,cartao dr.consulta - gratis,OUTRO account,17
41b33170-8c48-11ed-ad1b-4f890fd5ecac-3,41b33170-8c48-11ed-ad1b-4f890fd5ecac,41b10e90-8c48-11ed-ad1b-4f890fd5ecac,2025-01-04,2026-01-11,2026-01-11,17,renewal,yalo familia cartao dr.consulta,7e29b590-fc19-11f0-8167-c3862598285d,7e29b590-fc19-11f0-8167-c3862598285d-1,2026-01-28,2026-03-29,renewal,cartao dr.consulta - gratis,OUTRO account,17
3eb32e70-9207-11ed-90e2-bfb4a65e2de4-3,3eb32e70-9207-11ed-90e2-bfb4a65e2de4,3eb26b20-9207-11ed-90e2-bfb4a65e2de4,2025-01-11,2026-01-12,2026-01-12,17,renewal,cartao dr.consulta odonto - beneficios 1 - anual,86c7b9d0-fce2-11f0-8f87-7bf302a4e42d,86c7b9d0-fce2-11f0-8f87-7bf302a4e42d-1,2026-01-29,2026-03-30,renewal,cartao dr.consulta - gratis,OUTRO account,17
3bf35680-91d8-11ed-be37-25cb0362ddd0-3,3bf35680-91d8-11ed-be37-25cb0362ddd0,3bf2ba40-91d8-11ed-be37-25cb0362ddd0,2025-01-11,2026-01-12,2026-01-12,17,renewal,yalo familia cartao dr.consulta,88ae0600-fce2-11f0-aa95-a51f64a96eac,88ae0600-fce2-11f0-aa95-a51f64a96eac-1,2026-01-29,2026-03-30,renewal,cartao dr.consulta - gratis,OUTRO account,17
4313a850-9289-11ed-abab-fb8f28e2864d-3,4313a850-9289-11ed-abab-fb8f28e2864d,4312bdf0-9289-11ed-abab-fb8f28e2864d,2025-01-12,2026-01-13,2026-01-13,17,renewal,yalo familia cartao dr.consulta,8edf7710-fdab-11f0-b195-b94f137a1b81,8edf7710-fdab-11f0-b195-b94f137a1b81-1,2026-01-30,2026-03-31,renewal,cartao dr.consulta - gratis,OUTRO account,17
48558650-92af-11ed-815c-47dfe4b94747-3,48558650-92af-11ed-815c-47dfe4b94747,4854c300-92af-11ed-815c-47dfe4b94747,2025-01-12,2026-01-13,2026-01-13,17,renewal,yalo familia cartao dr.consulta,9271eca0-fdab-11f0-815c-81446b777c1f,9271eca0-fdab-11f0-815c-81446b777c1f-1,2026-01-30,2026-03-31,renewal,cartao dr.consulta - gratis,OUTRO account,17
3fcd93f0-973d-11ed-81c1-d79bb5b1cad0-3,3fcd93f0-973d-11ed-81c1-d79bb5b1cad0,3fcca990-973d-11ed-81c1-d79bb5b1cad0,2025-01-18,2026-01-19,2026-01-19,17,renewal,yalo familia cartao dr.consulta,b11c2ba0-0262-11f1-8a06-2b8dede69d8c,b11c2ba0-0262-11f1-8a06-2b8dede69d8c-1,2026-02-05,2026-04-06,renewal,cartao dr.consulta - gratis,OUTRO account,17
54166070-91ee-11ed-b44d-a13bbda8048d-3,54166070-91ee-11ed-b44d-a13bbda8048d,54157610-91ee-11ed-b44d-a13bbda8048d,2025-01-11,2026-01-19,2026-01-19,17,renewal,yalo familia cartao dr.consulta,b0c447a0-0262-11f1-b070-db36baaf2cc4,b0c447a0-0262-11f1-b070-db36baaf2cc4-1,2026-02-05,2026-04-06,renewal,cartao dr.consulta - gratis,OUTRO account,17
