duracao,ciclo,tipo_churn,janela_saida,total,pct_do_tipo
12,1o,churn_ativo,A_90+_dias_antes,19092,25.4
12,1o,churn_ativo,B_31-90_dias_antes,11044,14.7
12,1o,churn_ativo,C_8-30_dias_antes,9622,12.8
12,1o,churn_ativo,D_1-7_dias_antes,6478,8.6
12,1o,churn_ativo,E_no_dia_ou_apos,28875,38.4
12,1o,churn_silencioso,F_nunca_voltou,74187,20.7
12,1o,churn_silencioso,G_voltou_60+_dias,19673,5.5
12,1o,churn_silencioso,H_voltou_1-60_dias,256887,71.5
12,1o,churn_silencioso,I_sem_proximo,8455,2.4
12,2o+,churn_ativo,A_90+_dias_antes,23893,50.2
12,2o+,churn_ativo,B_31-90_dias_antes,9678,20.3
12,2o+,churn_ativo,C_8-30_dias_antes,4965,10.4
12,2o+,churn_ativo,D_1-7_dias_antes,2805,5.9
12,2o+,churn_ativo,E_no_dia_ou_apos,6266,13.2
12,2o+,churn_silencioso,F_nunca_voltou,30517,18.2
12,2o+,churn_silencioso,G_voltou_60+_dias,7369,4.4
12,2o+,churn_silencioso,H_voltou_1-60_dias,124222,74.2
12,2o+,churn_silencioso,I_sem_proximo,5350,3.2
6,1o,churn_ativo,A_90+_dias_antes,4684,9.4
6,1o,churn_ativo,B_31-90_dias_antes,5075,10.2
6,1o,churn_ativo,C_8-30_dias_antes,5812,11.6
6,1o,churn_ativo,D_1-7_dias_antes,5853,11.7
6,1o,churn_ativo,E_no_dia_ou_apos,28528,57.1
6,1o,churn_silencioso,F_nunca_voltou,36574,20.3
6,1o,churn_silencioso,G_voltou_60+_dias,7988,4.4
6,1o,churn_silencioso,H_voltou_1-60_dias,132031,73.2
6,1o,churn_silencioso,I_sem_proximo,3675,2.0
6,2o+,churn_ativo,A_90+_dias_antes,17110,43.6
6,2o+,churn_ativo,B_31-90_dias_antes,7915,20.2
6,2o+,churn_ativo,C_8-30_dias_antes,5165,13.2
6,2o+,churn_ativo,D_1-7_dias_antes,2527,6.4
6,2o+,churn_ativo,E_no_dia_ou_apos,6538,16.7
6,2o+,churn_silencioso,F_nunca_voltou,19151,19.7
6,2o+,churn_silencioso,G_voltou_60+_dias,4832,5.0
6,2o+,churn_silencioso,H_voltou_1-60_dias,70307,72.4
6,2o+,churn_silencioso,I_sem_proximo,2844,2.9
