account_type,plan_name,plan_months_duration,tipo_plano,payment_method,contratos,pessoas
holder,cartao dr.consulta semestral,6,pago,credit_card,67648,43211
dependent,cartao dr.consulta semestral,6,pago,credit_card,53019,40770
dependent,cartao dr.consulta anual,12,pago,credit_card,44693,38805
dependent,cartao dr.consulta com odonto anual,12,pago,credit_card,39547,35235
holder,cartao dr.consulta anual,12,pago,credit_card,41323,32271
holder,cartao dr.consulta com odonto anual,12,pago,credit_card,35447,29121
holder,assinatura dr.consulta entregadores ifood,1,pago,,44888,10323
holder,cartao dr.consulta semestral,6,pago,pix,4924,4906
dependent,yalo familia cartao dr.consulta,12,pago,credit_card,5156,3533
holder,cartao dr.consulta + odonto pj v24,12,pago,,3378,2764
dependent,cartao dr.consulta semestral,6,pago,pix,2647,2641
holder,cartao dr.consulta semestral,6,pago,debit_card,2192,2189
holder,yalo familia cartao dr.consulta,12,pago,credit_card,3287,1604
holder,cartao dr.consulta com odonto anual,12,pago,pix,1573,1567
dependent,cartao dr.consulta com odonto anual,12,pago,pix,1244,1243
dependent,cartao dr.consulta semestral,6,pago,debit_card,1164,1163
holder,cartao dr.consulta anual,12,pago,pix,1117,1115
holder,cartao dr.consulta semestral,6,pago,boleto,1170,1055
dependent,cartao dr.consulta + odonto pj v24,12,pago,,1100,986
dependent,cartao dr.consulta anual,12,pago,pix,936,936
dependent,cartao dr.consulta semestral,6,pago,boleto,992,915
dependent,yalo cartao dr.consulta,6,pago,credit_card,1912,878
dependent,yalo familia anual,12,pago,credit_card,1176,858
dependent,cartao dr.consulta + odonto pj,1,pago,,2661,811
holder,cartao dr.consulta anual,12,pago,debit_card,733,733
holder,cartao dr.consulta + odonto pj,1,pago,,6462,671
dependent,cartao dr.consulta anual,12,pago,boleto,685,638
holder,cartao dr.consulta so odonto anual,12,pago,credit_card,768,619
dependent,cartao dr.consulta com odonto anual,12,pago,boleto,600,584
dependent,cartao dr.consulta anual,12,pago,debit_card,557,557
holder,cartao dr.consulta com odonto anual,12,pago,debit_card,529,529
holder,cartao dr.consulta anual,12,pago,boleto,552,520
