mes_vencimento,total_contratos,churners,churn_rate,voltaram_30d,pct_retorno_30d,churn_real,churn_real_rate
2023-12-01,2701,1622,60.1,599,36.9,1023,37.9
2024-01-01,9156,4667,51.0,821,17.6,3846,42.0
2024-02-01,10453,5826,55.7,3172,54.4,2654,25.4
2024-03-01,11626,6249,53.8,4671,74.7,1578,13.6
2024-04-01,10852,5872,54.1,3259,55.5,2613,24.1
2024-05-01,11628,6205,53.4,3650,58.8,2555,22.0
2024-06-01,10006,5331,53.3,3209,60.2,2122,21.2
2024-07-01,13735,7343,53.5,2952,40.2,4391,32.0
2024-08-01,13446,7072,52.6,3312,46.8,3760,28.0
2024-09-01,13313,6917,52.0,2534,36.6,4383,32.9
2024-10-01,13916,7495,53.9,3175,42.4,4320,31.0
2024-11-01,13052,6708,51.4,2728,40.7,3980,30.5
2024-12-01,11392,6119,53.7,2681,43.8,3438,30.2
2025-01-01,15012,7867,52.4,2441,31.0,5426,36.1
2025-02-01,14824,8571,57.8,2968,34.6,5603,37.8
2025-03-01,17191,9596,55.8,2849,29.7,6747,39.2
2025-04-01,15801,8976,56.8,2858,31.8,6118,38.7
2025-05-01,16621,9020,54.3,2319,25.7,6701,40.3
2025-06-01,14478,7810,53.9,2940,37.6,4870,33.6
2025-07-01,16498,8947,54.2,4208,47.0,4739,28.7
2025-08-01,16560,9156,55.3,3140,34.3,6016,36.3
2025-09-01,17211,9103,52.9,5495,60.4,3608,21.0
2025-10-01,16479,9318,56.5,5890,63.2,3428,20.8
2025-11-01,17024,9808,57.6,6841,69.7,2967,17.4
2025-12-01,14313,8423,58.8,5053,60.0,3370,23.5
2026-01-01,18990,10010,52.7,6984,69.8,3026,15.9
2026-02-01,18392,9623,52.3,6539,68.0,3084,16.8
2026-03-01,21448,11504,53.6,7541,65.6,3963,18.5
2026-04-01,20076,10414,51.9,1245,12.0,9169,45.7
2026-05-01,11350,5780,50.9,694,12.0,5086,44.8
