contract_id,account_id,contract_due_date,duracao_original,ciclo_original,tipo_venda_original,canal_original,pediu_cancelamento,dias_ate_retorno,contract_id_retorno,retorno_register_date,duracao_retorno,tipo_venda_retorno,canal_retorno,mudou_duracao,mudou_canal,faixa_retorno_detalhe
1fb7c5e0-11ab-11ec-98b3-3fdafc1b8c25-3,1fb7c5e0-11ab-11ec-98b3-3fdafc1b8c25,2024-09-09,12,2o+,renewal,others,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
23c7fce0-0e56-11ef-8dd9-1f5c711f7059-1,23c7fce0-0e56-11ef-8dd9-1f5c711f7059,2025-05-10,12,1o,first_contract,drc_digital,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
2c5a47c0-0287-11f0-a7ee-1392d353afcd-1,2c5a47c0-0287-11f0-a7ee-1392d353afcd,2025-09-17,6,1o,renewal,drc_digital,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
441f8100-f6ba-11ef-a795-a353f1a42ff5-2,441f8100-f6ba-11ef-a795-a353f1a42ff5,2026-03-02,6,2o+,renewal,drc_cm,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
4578c5d0-5ad9-11ee-bf9d-c7799fad84d4-1,4578c5d0-5ad9-11ee-bf9d-c7799fad84d4,2024-03-25,6,1o,reactivation,drc_digital,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
4e497720-b4c1-11ef-974f-af9ddf66a5f2-1,4e497720-b4c1-11ef-974f-af9ddf66a5f2,2025-06-08,6,1o,reactivation,drc_cfp,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
5e572ea0-4ad7-11ee-8452-97cea8cdd30a-2,5e572ea0-4ad7-11ee-8452-97cea8cdd30a,2025-09-05,12,2o+,renewal,others,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
64c170b0-f1a9-11ee-b248-1378565a1a05-1,64c170b0-f1a9-11ee-b248-1378565a1a05,2025-04-04,12,1o,renewal,drc_digital,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
64d7c3c0-7f83-11ef-9226-df8e03f08757-1,64d7c3c0-7f83-11ef-9226-df8e03f08757,2025-10-01,12,1o,first_contract,drc_digital,true,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
6567a260-1f1c-11ee-a53b-fb5e5f7e04b4-1,6567a260-1f1c-11ee-a53b-fb5e5f7e04b4,2024-07-11,12,1o,first_contract,drc_cm,false,1,,,,desconhecido,,manteve,manteve,retorno_imediato_0-7d
