duracao,ciclo,faixa_etaria,cronico,composicao_titular,especialidade,uso,total_contratos,churners,churn_rate
12,1o,00-20,N,com_crianca,CM_presencial,usou,40,26,65.0
12,1o,00-20,N,com_idoso,CM_presencial,usou,37,21,56.8
12,1o,00-20,N,solo,CM_presencial,nao_usou,81,64,79.0
12,1o,00-20,N,solo,CM_presencial,usou,124,95,76.6
12,1o,21-30,N,com_ambos,CM_presencial,nao_usou,69,47,68.1
12,1o,21-30,N,com_ambos,CM_presencial,usou,236,151,64.0
12,1o,21-30,N,com_crianca,CM_presencial,nao_usou,327,233,71.3
12,1o,21-30,N,com_crianca,CM_presencial,usou,892,634,71.1
12,1o,21-30,N,com_idoso,CM_presencial,nao_usou,248,160,64.5
12,1o,21-30,N,com_idoso,CM_presencial,usou,798,494,61.9
12,1o,21-30,N,solo,CM_presencial,nao_usou,1219,940,77.1
12,1o,21-30,N,solo,CM_presencial,usou,2621,1878,71.7
12,1o,21-30,S,com_idoso,CM_presencial,usou,46,19,41.3
12,1o,21-30,S,solo,CM_presencial,nao_usou,30,20,66.7
12,1o,21-30,S,solo,CM_presencial,usou,66,51,77.3
12,1o,31-50,N,com_ambos,CM_presencial,nao_usou,660,390,59.1
12,1o,31-50,N,com_ambos,CM_presencial,usou,1989,1192,59.9
12,1o,31-50,N,com_crianca,CM_presencial,nao_usou,1565,1060,67.7
12,1o,31-50,N,com_crianca,CM_presencial,usou,4077,2590,63.5
12,1o,31-50,N,com_idoso,CM_presencial,nao_usou,1109,679,61.2
12,1o,31-50,N,com_idoso,CM_presencial,usou,3225,1933,59.9
12,1o,31-50,N,solo,CM_presencial,nao_usou,2647,1837,69.4
12,1o,31-50,N,solo,CM_presencial,usou,5412,3661,67.6
12,1o,31-50,S,com_ambos,CM_presencial,nao_usou,78,44,56.4
12,1o,31-50,S,com_ambos,CM_presencial,usou,302,173,57.3
12,1o,31-50,S,com_crianca,CM_presencial,nao_usou,157,86,54.8
12,1o,31-50,S,com_crianca,CM_presencial,usou,519,298,57.4
12,1o,31-50,S,com_idoso,CM_presencial,nao_usou,120,63,52.5
12,1o,31-50,S,com_idoso,CM_presencial,usou,435,245,56.3
12,1o,31-50,S,solo,CM_presencial,nao_usou,255,180,70.6
12,1o,31-50,S,solo,CM_presencial,usou,767,495,64.5
12,1o,51-70,N,com_ambos,CM_presencial,nao_usou,318,181,56.9
12,1o,51-70,N,com_ambos,CM_presencial,usou,1030,545,52.9
12,1o,51-70,N,com_crianca,CM_presencial,nao_usou,565,314,55.6
12,1o,51-70,N,com_crianca,CM_presencial,usou,1452,828,57.0
12,1o,51-70,N,com_idoso,CM_presencial,nao_usou,1264,722,57.1
12,1o,51-70,N,com_idoso,CM_presencial,usou,3554,1906,53.6
12,1o,51-70,N,solo,CM_presencial,nao_usou,2077,1336,64.3
12,1o,51-70,N,solo,CM_presencial,usou,4316,2540,58.9
12,1o,51-70,S,com_ambos,CM_presencial,nao_usou,101,57,56.4
12,1o,51-70,S,com_ambos,CM_presencial,usou,457,229,50.1
12,1o,51-70,S,com_crianca,CM_presencial,nao_usou,160,84,52.5
12,1o,51-70,S,com_crianca,CM_presencial,usou,573,306,53.4
12,1o,51-70,S,com_idoso,CM_presencial,nao_usou,432,241,55.8
12,1o,51-70,S,com_idoso,CM_presencial,usou,1599,826,51.7
12,1o,51-70,S,solo,CM_presencial,nao_usou,662,415,62.7
12,1o,51-70,S,solo,CM_presencial,usou,1970,1108,56.2
12,1o,71+,N,com_ambos,CM_presencial,nao_usou,58,32,55.2
12,1o,71+,N,com_ambos,CM_presencial,usou,191,98,51.3
12,1o,71+,N,com_crianca,CM_presencial,nao_usou,59,39,66.1
12,1o,71+,N,com_crianca,CM_presencial,usou,171,94,55.0
