duracao,decil,n_contratos,n_churners,churn_obs_pp,churn_pred_pp,erro_pp
12m,1,8344.0,4055.0,48.6,47.36,-1.24
12m,2,8821.0,4608.0,52.24,51.43,-0.81
12m,3,7906.0,4243.0,53.67,54.42,0.75
12m,4,9046.0,5024.0,55.54,55.44,-0.1
12m,5,6554.0,3757.0,57.32,58.02,0.7
12m,6,8605.0,5081.0,59.05,59.52,0.47
12m,7,6278.0,3744.0,59.64,61.12,1.48
12m,8,8104.0,4923.0,60.75,62.3,1.55
12m,9,9107.0,5856.0,64.3,64.48,0.18
12m,10,13470.0,9447.0,70.13,68.84,-1.29
6m,1,9922.0,3817.0,38.47,37.88,-0.59
6m,2,10142.0,4319.0,42.59,42.76,0.17
6m,3,10040.0,4633.0,46.15,45.39,-0.76
6m,4,10195.0,4910.0,48.16,48.26,0.1
6m,5,8862.0,4438.0,50.08,50.31,0.23
6m,6,11579.0,6131.0,52.95,53.3,0.35
6m,7,4060.0,2121.0,52.24,55.14,2.9
6m,8,16601.0,9323.0,56.16,56.86,0.7
6m,10,20519.0,12945.0,63.09,62.26,-0.83
