duracao,ciclo,faixa_etaria,cronico,composicao_titular,total_contratos,churn_rate,churn_pred,erro
12m,1o,21-30,S,com_idoso,51,43.1,61.7,18.6
12m,2o+,00-20,N,solo,82,53.7,67.1,13.399999999999991
12m,2o+,71+,S,com_crianca,133,40.6,49.7,9.100000000000001
12m,2o+,71+,N,com_crianca,168,61.3,53.4,-7.899999999999999
12m,1o,71+,S,com_ambos,153,45.1,51.6,6.5
12m,1o,00-20,N,solo,205,77.6,72.0,-5.599999999999994
12m,2o+,21-30,N,com_crianca,307,58.0,63.5,5.5
12m,1o,21-30,S,solo,96,74.0,68.8,-5.200000000000003
12m,2o+,21-30,N,solo,922,62.7,66.9,4.200000000000003
12m,1o,21-30,S,com_crianca,36,69.4,65.4,-4.0
6m,1o,21-30,S,com_idoso,46,45.7,55.9,10.199999999999996
6m,2o+,21-30,N,com_ambos,245,38.4,48.4,10.0
6m,2o+,21-30,S,com_crianca,30,40.0,49.4,9.399999999999999
6m,2o+,00-20,N,com_crianca,51,45.1,53.3,8.199999999999996
6m,1o,21-30,S,com_crianca,38,65.8,59.7,-6.099999999999994
6m,2o+,71+,N,com_crianca,178,47.2,41.4,-5.800000000000004
6m,2o+,71+,S,com_crianca,98,43.9,38.2,-5.699999999999996
6m,1o,71+,S,com_ambos,44,38.6,44.1,5.5
6m,2o+,00-20,N,com_idoso,31,54.8,49.4,-5.399999999999999
6m,1o,21-30,N,com_ambos,236,53.4,58.7,5.300000000000004
