duracao,variavel,nivel,rank_churn_asc,n_contratos,churn_pp,ic_lo_pp,ic_hi_pp,eh_ref_atual
12m,ciclo,2o+,1,30392,54.01,53.45,54.57,*
12m,ciclo,1o,2,55843,61.46,61.06,61.87,
12m,faixa_etaria,71+,1,9076,54.64,53.61,55.66,*
12m,faixa_etaria,51-70,2,34320,54.78,54.25,55.31,
12m,faixa_etaria,31-50,3,34029,61.59,61.07,62.1,
12m,faixa_etaria,21-30,4,8420,68.31,67.31,69.3,
12m,faixa_etaria,00-20,5,390,68.97,64.22,73.36,
12m,cronico,S,1,18923,53.55,52.84,54.26,*
12m,cronico,N,2,67312,60.32,59.95,60.69,
12m,composicao_titular,com_idoso,1,25393,53.71,53.09,54.32,*
12m,composicao_titular,com_ambos,2,9519,54.95,53.95,55.95,
12m,composicao_titular,com_crianca,3,15709,60.25,59.48,61.01,
12m,composicao_titular,solo,4,35614,62.91,62.4,63.41,
6m,ciclo,2o+,1,43170,44.79,44.33,45.26,*
6m,ciclo,1o,2,58750,56.68,56.28,57.08,
6m,faixa_etaria,71+,1,7827,45.48,44.38,46.59,*
6m,faixa_etaria,51-70,2,35286,47.26,46.74,47.78,
6m,faixa_etaria,31-50,3,44575,53.32,52.86,53.78,
6m,faixa_etaria,21-30,4,13260,60.55,59.72,61.38,
6m,faixa_etaria,00-20,5,972,62.04,58.94,65.03,
6m,cronico,S,1,18010,45.96,45.23,46.69,*
6m,cronico,N,2,83910,52.87,52.53,53.2,
6m,composicao_titular,com_idoso,1,22456,45.62,44.97,46.27,*
6m,composicao_titular,com_ambos,2,7979,46.0,44.9,47.09,
6m,composicao_titular,com_crianca,3,18076,52.22,51.5,52.95,
6m,composicao_titular,solo,4,53409,54.83,54.4,55.25,
