duracao,band,n,churn_rate_pp,prob_media_pp,score_min,score_max,ciclo,faixa_etaria,cronico,composicao_titular,sexo,classe_social,canal,tem_odonto,usou_cm,usou_cm_tele,usou_exames,usou_clinica_medica,usou_ginecologia,usou_cardiologia,usou_dermatologia,usou_endocrinologia,usou_psiquiatria,usou_ortopedia,usou_pediatria
6m,CRITICO,1869,71.0,70.4,0,200,1o=100%,21-30=90% | 31-50=6%,N=99% | S=1%,solo=91% | com_crianca=9%,F=63% | M=24%,(sem dados)=29% | C2=23%,drc_digital=68% | drc_cm=24%,0=100%,84.1,58.8,20.6,50.8,15.0,4.1,7.2,4.7,23.1,3.5,6.8
6m,ALTO,19283,63.3,62.8,201,400,1o=100% | 2o+=0%,31-50=59% | 21-30=33%,N=97% | S=3%,solo=77% | com_crianca=16%,F=70% | M=27%,C2=26% | B2=23%,drc_digital=58% | drc_cm=29%,0=100% | 1=0%,65.3,27.2,43.1,26.8,16.2,5.9,8.0,5.9,13.5,8.8,5.0
6m,MEDIO,40927,53.5,53.7,401,600,1o=75% | 2o+=25%,31-50=50% | 51-70=34%,N=86% | S=14%,solo=57% | com_crianca=19%,F=68% | M=31%,C2=25% | B2=23%,drc_digital=38% | drc_cm=34%,0=100% | 1=0%,49.9,10.9,42.3,17.0,11.0,9.5,7.0,6.3,6.0,10.0,2.2
6m,BAIXO,33609,44.4,44.6,601,800,2o+=80% | 1o=20%,51-70=49% | 31-50=36%,N=77% | S=23%,solo=39% | com_idoso=29%,F=66% | M=33%,C2=26% | B2=24%,drc_cfp=40% | drc_cm=28%,0=100% | 1=0%,16.2,2.5,15.8,5.5,3.6,4.7,2.9,2.6,1.4,3.8,0.5
6m,SEGURO,6335,37.1,36.6,801,1000,2o+=98% | 1o=2%,51-70=67% | 71+=21%,S=60% | N=40%,com_idoso=73% | com_ambos=16%,F=57% | M=43%,B2=32% | C2=22%,drc_cfp=44% | others=22%,0=100%,2.4,0.3,2.4,1.0,0.9,1.1,1.1,0.9,0.2,0.8,0.0
12m,CRITICO,10,100.0,85.1,0,197,1o=100%,21-30=60% | 31-50=40%,N=100%,solo=90% | com_crianca=10%,F=90% | I=10%,(sem dados)=90% | C1=10%,psycoai=100%,0=60% | 1=40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12m,ALTO,1359,79.2,76.5,209,400,1o=100%,21-30=78% | 31-50=17%,N=99% | S=1%,solo=87% | com_crianca=11%,F=66% | M=22%,(sem dados)=48% | C2=19%,drc_digital=76% | drc_cm=10%,1=77% | 0=23%,38.7,25.5,10.1,20.4,6.9,1.1,1.9,1.2,9.3,3.2,5.0
12m,MEDIO,20951,67.7,67.5,401,600,1o=94% | 2o+=6%,31-50=63% | 21-30=25%,N=95% | S=5%,solo=69% | com_crianca=24%,F=66% | M=32%,C2=23% | B2=22%,drc_digital=58% | drc_cm=20%,1=60% | 0=40%,61.8,30.2,45.5,30.5,17.8,5.7,10.6,7.2,14.5,10.9,5.7
12m,BAIXO,53457,56.9,57.1,601,800,1o=60% | 2o+=40%,51-70=47% | 31-50=37%,N=78% | S=22%,solo=37% | com_idoso=32%,F=64% | M=35%,B2=25% | C2=25%,drc_cm=34% | drc_digital=29%,0=61% | 1=39%,45.7,13.1,40.7,21.2,12.0,12.0,10.1,7.9,7.8,13.3,2.9
12m,SEGURO,10589,48.5,48.1,801,1000,2o+=77% | 1o=23%,51-70=72% | 71+=20%,S=59% | N=41%,com_idoso=70% | com_ambos=20%,F=52% | M=47%,B2=26% | C2=24%,drc_cfp=38% | drc_cm=30%,0=76% | 1=24%,23.0,3.1,22.7,10.9,7.5,12.1,9.5,5.4,2.5,9.3,1.1
