duracao,ciclo,faixa_etaria,cronico,composicao_titular,total_contratos,churners,churn_rate
12,1o,00-20,N,solo,205,159,77.6
12,1o,21-30,S,solo,96,71,74.0
12,1o,21-30,N,solo,3840,2818,73.4
12,1o,21-30,N,com_crianca,1219,867,71.1
12,1o,21-30,S,com_crianca,36,25,69.4
12,1o,31-50,N,solo,8059,5498,68.2
12,1o,00-20,N,com_crianca,51,34,66.7
12,1o,31-50,S,solo,1022,675,66.0
12,1o,21-30,N,com_ambos,305,198,64.9
12,1o,31-50,N,com_crianca,5642,3650,64.7
12,2o+,21-30,N,solo,922,578,62.7
12,1o,21-30,N,com_idoso,1046,654,62.5
12,1o,71+,N,solo,1362,844,62.0
12,1o,00-20,N,com_idoso,52,32,61.5
12,2o+,71+,N,com_crianca,168,103,61.3
12,1o,51-70,N,solo,6393,3876,60.6
12,2o+,31-50,N,solo,2902,1756,60.5
12,1o,31-50,N,com_idoso,4334,2612,60.3
12,1o,31-50,N,com_ambos,2649,1582,59.7
12,2o+,21-30,S,solo,42,25,59.5
12,1o,71+,S,solo,853,497,58.3
12,2o+,31-50,S,solo,493,287,58.2
12,2o+,31-50,N,com_crianca,2196,1279,58.2
12,2o+,21-30,N,com_crianca,307,178,58.0
12,1o,51-70,S,solo,2632,1523,57.9
12,1o,71+,N,com_crianca,230,133,57.8
12,2o+,51-70,N,solo,3244,1864,57.5
12,2o+,71+,N,solo,913,524,57.4
12,1o,31-50,S,com_ambos,380,217,57.1
12,2o+,21-30,N,com_idoso,429,245,57.1
12,1o,31-50,S,com_crianca,676,384,56.8
12,1o,51-70,N,com_crianca,2017,1142,56.6
12,2o+,31-50,N,com_ambos,1595,893,56.0
12,2o+,21-30,N,com_ambos,127,71,55.9
12,1o,31-50,S,com_idoso,555,308,55.5
12,2o+,51-70,N,com_crianca,1180,649,55.0
12,1o,71+,N,com_idoso,1345,735,54.6
12,1o,51-70,N,com_idoso,4818,2628,54.5
12,2o+,31-50,S,com_crianca,388,211,54.4
12,2o+,71+,S,solo,651,353,54.2
12,1o,51-70,N,com_ambos,1348,726,53.9
12,2o+,00-20,N,solo,82,44,53.7
12,1o,51-70,S,com_crianca,733,390,53.2
12,2o+,51-70,S,solo,1903,1012,53.2
12,1o,51-70,S,com_idoso,2031,1067,52.5
12,1o,71+,S,com_idoso,759,396,52.2
12,1o,71+,N,com_ambos,249,130,52.2
12,1o,71+,S,com_crianca,144,75,52.1
12,2o+,31-50,N,com_idoso,2437,1262,51.8
12,2o+,51-70,N,com_ambos,986,506,51.3
12,1o,51-70,S,com_ambos,558,286,51.3
12,2o+,31-50,S,com_ambos,279,143,51.3
12,2o+,71+,N,com_idoso,1046,534,51.1
12,2o+,71+,N,com_ambos,189,95,50.3
12,2o+,51-70,N,com_idoso,3425,1705,49.8
12,2o+,51-70,S,com_crianca,589,291,49.4
12,2o+,31-50,S,com_idoso,422,200,47.4
12,2o+,71+,S,com_ambos,154,73,47.4
12,2o+,71+,S,com_idoso,727,344,47.3
12,2o+,51-70,S,com_idoso,1916,894,46.7
12,1o,71+,S,com_ambos,153,69,45.1
12,2o+,51-70,S,com_ambos,547,242,44.2
12,1o,21-30,S,com_idoso,51,22,43.1
12,2o+,71+,S,com_crianca,133,54,40.6
6,1o,21-30,N,solo,6170,4136,67.0
6,1o,00-20,N,solo,511,337,65.9
6,1o,21-30,S,com_crianca,38,25,65.8
6,1o,21-30,S,solo,178,116,65.2
6,1o,00-20,N,com_idoso,65,42,64.6
6,1o,21-30,N,com_crianca,1351,872,64.5
6,1o,31-50,N,solo,12186,7410,60.8
6,1o,00-20,N,com_crianca,123,74,60.2
6,1o,21-30,N,com_idoso,1009,588,58.3
6,1o,31-50,N,com_crianca,5807,3367,58.0
6,2o+,00-20,N,solo,191,110,57.6
6,1o,31-50,S,solo,1417,799,56.4
6,2o+,21-30,S,solo,87,48,55.2
6,1o,31-50,S,com_idoso,416,229,55.0
6,2o+,00-20,N,com_idoso,31,17,54.8
6,1o,51-70,N,solo,7792,4245,54.5
6,1o,31-50,N,com_idoso,3709,2014,54.3
6,2o+,21-30,N,com_crianca,646,345,53.4
6,1o,21-30,N,com_ambos,236,126,53.4
6,1o,31-50,N,com_ambos,2081,1104,53.1
6,2o+,21-30,N,solo,2494,1315,52.7
6,1o,51-70,S,solo,2708,1422,52.5
6,1o,71+,N,solo,1566,806,51.5
6,1o,51-70,N,com_crianca,1785,917,51.4
6,1o,31-50,S,com_crianca,599,306,51.1
6,1o,31-50,S,com_ambos,241,122,50.6
6,1o,71+,S,solo,804,407,50.6
6,2o+,31-50,N,solo,6634,3299,49.7
6,1o,51-70,N,com_idoso,3459,1718,49.7
6,1o,71+,S,com_idoso,384,190,49.5
6,1o,71+,N,com_crianca,173,85,49.1
6,1o,51-70,N,com_ambos,863,423,49.0
6,1o,71+,S,com_crianca,90,44,48.9
6,1o,51-70,S,com_crianca,507,248,48.9
6,2o+,31-50,N,com_crianca,3939,1892,48.0
6,2o+,71+,N,com_crianca,178,84,47.2
6,2o+,31-50,S,solo,957,451,47.1
6,1o,71+,N,com_idoso,808,379,46.9
6,2o+,51-70,N,solo,5427,2532,46.7
6,1o,21-30,S,com_idoso,46,21,45.7
6,2o+,31-50,S,com_crianca,547,249,45.5
6,2o+,21-30,N,com_idoso,730,331,45.3
6,1o,51-70,S,com_idoso,1236,557,45.1
