duracao,ciclo,faixa_etaria,cronico,composicao_titular,total_contratos,churners,churn_rate
12,1o,21-30,S,solo,43,33,76.7
12,1o,00-20,N,solo,111,84,75.7
12,1o,21-30,N,solo,1939,1443,74.4
12,1o,21-30,N,com_crianca,648,468,72.2
12,1o,31-50,N,solo,4182,2874,68.7
12,1o,00-20,N,com_crianca,30,20,66.7
12,1o,21-30,N,com_ambos,184,119,64.7
12,1o,31-50,S,solo,568,365,64.3
12,1o,31-50,N,com_crianca,3053,1949,63.8
12,1o,21-30,N,com_idoso,564,358,63.5
12,2o+,31-50,S,solo,284,180,63.4
12,2o+,21-30,N,solo,472,298,63.1
12,1o,71+,N,solo,765,467,61.0
12,2o+,71+,N,com_crianca,102,62,60.8
12,2o+,31-50,N,solo,1585,958,60.4
12,1o,31-50,N,com_ambos,1484,893,60.2
12,1o,51-70,N,solo,3448,2062,59.8
12,1o,31-50,N,com_idoso,2343,1402,59.8
12,1o,71+,S,solo,469,279,59.5
12,2o+,21-30,N,com_ambos,71,42,59.2
12,2o+,71+,N,solo,528,311,58.9
12,1o,51-70,N,com_crianca,1112,650,58.5
12,2o+,51-70,N,solo,1867,1091,58.4
12,2o+,31-50,N,com_crianca,1223,710,58.1
12,2o+,31-50,N,com_ambos,803,463,57.7
12,1o,71+,S,com_crianca,87,50,57.5
12,1o,31-50,S,com_idoso,293,168,57.3
12,2o+,51-70,N,com_crianca,667,381,57.1
12,1o,51-70,S,solo,1476,843,57.1
12,1o,31-50,S,com_crianca,375,213,56.8
12,2o+,31-50,S,com_crianca,228,129,56.6
12,1o,71+,N,com_crianca,138,78,56.5
12,2o+,21-30,N,com_idoso,222,124,55.9
12,1o,51-70,N,com_ambos,773,425,55.0
12,2o+,51-70,S,solo,1080,593,54.9
12,2o+,21-30,N,com_crianca,155,85,54.8
12,1o,71+,N,com_ambos,146,80,54.8
12,1o,51-70,S,com_crianca,429,233,54.3
12,1o,71+,N,com_idoso,766,415,54.2
12,1o,51-70,N,com_idoso,2716,1460,53.8
12,1o,31-50,S,com_ambos,221,119,53.8
12,2o+,71+,S,solo,377,197,52.3
12,2o+,71+,N,com_idoso,621,319,51.4
12,2o+,31-50,N,com_idoso,1248,635,50.9
12,1o,51-70,S,com_ambos,355,180,50.7
12,1o,71+,S,com_idoso,438,222,50.7
12,2o+,51-70,N,com_ambos,544,275,50.6
12,2o+,51-70,N,com_idoso,1900,939,49.4
12,2o+,31-50,S,com_ambos,172,85,49.4
12,1o,51-70,S,com_idoso,1163,575,49.4
12,2o+,51-70,S,com_crianca,332,163,49.1
12,2o+,00-20,N,solo,53,26,49.1
12,1o,71+,S,com_ambos,100,48,48.0
12,2o+,71+,N,com_ambos,115,55,47.8
12,2o+,71+,S,com_idoso,418,191,45.7
12,2o+,51-70,S,com_idoso,1040,459,44.1
12,2o+,71+,S,com_ambos,102,45,44.1
12,2o+,51-70,S,com_ambos,299,126,42.1
12,2o+,31-50,S,com_idoso,206,85,41.3
12,2o+,71+,S,com_crianca,68,27,39.7
6,1o,21-30,N,solo,2842,1938,68.2
6,1o,00-20,N,solo,199,135,67.8
6,1o,21-30,S,solo,94,61,64.9
6,1o,21-30,N,com_crianca,621,398,64.1
6,1o,31-50,N,solo,5695,3577,62.8
6,2o+,21-30,S,solo,46,27,58.7
6,1o,31-50,N,com_crianca,2679,1549,57.8
6,1o,00-20,N,com_crianca,58,33,56.9
6,1o,21-30,N,com_idoso,489,277,56.6
6,1o,51-70,N,solo,3663,2012,54.9
6,1o,31-50,S,solo,697,381,54.7
6,2o+,21-30,N,solo,1272,685,53.9
6,1o,31-50,N,com_idoso,1847,993,53.8
6,2o+,21-30,N,com_crianca,336,179,53.3
6,1o,21-30,N,com_ambos,125,66,52.8
6,1o,31-50,N,com_ambos,1021,531,52.0
6,1o,31-50,S,com_idoso,221,114,51.6
6,1o,71+,N,solo,735,379,51.6
6,1o,51-70,S,solo,1307,670,51.3
6,1o,51-70,N,com_crianca,841,430,51.1
6,1o,71+,S,solo,390,196,50.3
6,2o+,31-50,N,solo,3440,1720,50.0
6,1o,71+,S,com_crianca,44,22,50.0
6,2o+,00-20,N,solo,95,47,49.5
