dimensao,duracao,segmento,total_contratos,churners,churn_rate
ciclo,12,1o,55880,34346,61.5
ciclo,12,2o+,30486,16470,54.0
ciclo,6,1o,58792,33324,56.7
ciclo,6,2o+,43231,19367,44.8
composicao_titular,12,com_ambos,9559,5258,55.0
composicao_titular,12,com_crianca,15739,9482,60.2
composicao_titular,12,com_idoso,25442,13666,53.7
composicao_titular,12,solo,35626,22410,62.9
composicao_titular,6,com_ambos,8037,3697,46.0
composicao_titular,6,com_crianca,18079,9443,52.2
composicao_titular,6,com_idoso,22486,10259,45.6
composicao_titular,6,solo,53421,29292,54.8
cronico,12,N,67361,40632,60.3
cronico,12,S,19005,10184,53.6
cronico,6,N,83952,44382,52.9
cronico,6,S,18071,8309,46.0
faixa_etaria,12,00-20,462,310,67.1
faixa_etaria,12,21-30,8479,5789,68.3
faixa_etaria,12,31-50,34029,20957,61.6
faixa_etaria,12,51-70,34320,18801,54.8
faixa_etaria,12,71+,9076,4959,54.6
faixa_etaria,6,00-20,1032,640,62.0
faixa_etaria,6,21-30,13303,8046,60.5
faixa_etaria,6,31-50,44575,23768,53.3
faixa_etaria,6,51-70,35286,16677,47.3
faixa_etaria,6,71+,7827,3560,45.5
