decil,n,churn_real_pp,churn_pred_pp,erro_pp,duracao
0,8637,48.57,47.95,-0.62,12m
1,8637,51.36,51.52,0.16,12m
2,8636,53.45,53.79,0.34,12m
3,8637,55.37,55.71,0.34,12m
4,8636,56.84,57.45,0.61,12m
5,8646,59.22,59.26,0.04,12m
6,8627,61.42,61.17,-0.25,12m
7,8637,62.79,63.45,0.67,12m
8,8636,67.11,66.53,-0.59,12m
9,8637,72.25,71.54,-0.7,12m
0,10204,38.31,38.13,-0.18,6m
1,10207,42.24,42.39,0.15,6m
2,10242,45.28,45.94,0.66,6m
3,10156,48.19,48.28,0.09,6m
4,10211,50.18,50.37,0.19,6m
5,10195,53.04,52.62,-0.42,6m
6,10202,54.0,54.78,0.78,6m
7,10203,57.26,57.3,0.04,6m
8,10201,61.44,60.53,-0.91,6m
9,10202,66.55,65.98,-0.57,6m
